PA Ref,Property Address,PROPOSAL,Decision,Decision issued,Determining Body
18/00443/B,38 Hailwood Avenue Douglas Isle Of Man IM2 7DG,Erection of domed astronomical observatory in rear garden for private use,Permitted,27-Jun-18,Director 2017+
18/00444/B,Land And Garage Adj To Maycroft Park Road Port St. Mary Isle Of Man  ,"Demolition of existing garage and outbuilding, and erection of two dwellings with on site parking",Permitted,02-Oct-18,Planning Committee
18/00445/B,Woodlands Ballagawne Road Colby Isle Of Man IM9 4BB,Alterations and erection of a double garage to front elevation,Permitted,31-Jul-18,Planning Committee
18/00446/B,Marathon Court Victoria Road Douglas Isle Of Man IM2 4RQ,"Alterations and extensions including conversion of existing utility/plant room to accommodation block, and yard alterations including creation of decked/ramped area and relocation of parking",Refused,14-Sep-18,Principal Planner - South (SC)
18/00447/C,Callows Yard Malew Street Castletown Isle Of Man IM9 1DQ ,"Additional use as self-catering tourist accommodation for apartment numbers 1, 2, 3, 4, 5, 6, 7, 8, 18, 19, 20, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50 and 60.",Permitted,13-Jun-18,Director 2017+
18/00448/B,Ballafletcher Sports Pitches Strang Douglas Isle Of Man  ,Installation of four lighting columns,Permitted,10-Jul-18,Principal Planner- North (CB)
18/00449/B,9 Second Avenue Douglas Isle Of Man IM2 6AW,Front and rear extensions to dwelling including associated garden works,Permitted,30-Jul-18,Head of Development Management
18/00450/B,Broomville Coburg Road Ramsey Isle Of Man IM8 3EH,Removal of a rear chimney stack,Permitted,03-Jul-18,Principal Planner - South (SC)
18/00451/B,Corner House 48 Bowring Road Ramsey Isle Of Man IM8 3ES,Creation of off road parking and associated vehicular access,Permitted,06-Nov-18,Principal Planner- North (CB)
18/00452/B,Bun-Ry-Skyn Croit E Quill Road Laxey Isle Of Man IM4 7JH,Alterations to height of existing windows on west and east elevations,Permitted,02-Aug-18,Director 2017+
18/00453/B,Spindrift Pooilvaaish Road Balladoole Isle Of Man IM9 4PJ,Installation of a heat pump and ground mounted solar panels,Permitted,27-Jun-18,Head of Development Management
18/00454/B,39 Ballagarey Road Glen Vine Isle Of Man IM4 4EF,Alterations to convert sun room to kitchen including new roof and window/door arrangement,Permitted,10-Sep-18,Head of Development Management
18/00455/B,37 Close Kennish Douglas Isle Of Man IM2 2HJ,Erection of a detached summerhouse (retrospective),Permitted,30-Aug-18,Head of Development Management
18/00456/B,Modena House Ballanard Road Douglas Isle Of Man IM2 5PP ,Erection of detached storage building and summerhouse (retrospective),Permitted,07-Aug-18,Principal Planner - South (SC)
18/00457/LAW,Field 130578 St Judes Road Sulby Isle Of Man  ,"Application for a Certificate of Lawful Development for the erection of a tool shed, portacabin and associated hard standings",Certificate of Lawfulness AGREED,02-Nov-18,Head of Development Management
18/00458/B,Stovell Lodge Tromode Road Douglas Isle Of Man IM2 5PB,Single storey extension to rear of dwelling,Permitted,19-Jun-18,Director 2017+
18/00459/B,Ellan Vannin 13 Kerrocruin Kirk Michael Isle Of Man IM6 1AF,Erection of side and rear extensions to dwelling,Permitted,04-Oct-18,Head of Development Management
18/00460/B,Aeolus Traaie Meanagh Drive Port Erin Isle Of Man IM9 6LL,"Alterations, roofing works, window and bay window alterations, removal of chimney stacks, rendering works and creation of decked area with steel and glass balustrading",Permitted,26-Jul-18,Principal Planner- North (CB)
18/00461/D,Units 3 & 4 Block C Eden Business Park Douglas Isle Of Man IM4 2AY ,Installation of signage,Permitted,19-Jul-18,Head of Development Management
18/00462/B,4 Ballaradcliffe Andreas Isle Of Man IM7 3EN,Installation of flue from multi fuel stove,Permitted,14-Jun-18,Director 2017+
18/00463/C,Kerrowdhoo Glen Duff Ramsey Isle Of Man IM7 2AT ,Change of use of land from agricultural use to part of domestic curtilage,Refused,21-Sep-18,Head of Development Management
18/00464/B,Rock Cottage Pooilvaaish Road Castletown Isle Of Man IM9 4PJ,Alterations and enlargement of existing front porches,Permitted,13-Jun-18,Director 2017+
18/00465/B,Plot To Rear Of 41 Selborne Drive Douglas Isle Of Man IM2 3NJ ,Alterations to existing garages (retrospective),Permitted,13-Jun-18,Director 2017+
18/00466/B,20 Cronk Ny Greiney Douglas Isle Of Man IM2 5LW,Extension to front of dwelling,Permitted,13-Jun-18,Director 2017+
18/00467/B,5 Cleiy Rhennee Kirk Michael Isle Of Man IM6 1HT,Erection of single storey conservatory to rear of property,Permitted,19-Jul-18,Head of Development Management
18/00468/B,13 Queens Terrace Douglas Isle Of Man IM1 4BZ,Installation of replacement windows to front elevation,Permitted,03-Jul-18,Principal Planner - South (SC)
18/00469/B,20 Parliament Street & Sea View West Quay Ramsey Isle Of Man IM8 1AP,Change of use of existing office/storage areas into retail use (Class 1) together with removal of bow window and installation of new shop front to West Quay elevation,Permitted,04-Oct-18,Head of Development Management
18/00470/B,"16, 17 And 25-34 The Threshold Jurby Isle Of Man IM7 3BG",External alterations and renovation to properties,Permitted,18-Sep-18,Planning Committee
18/00471/B,"Fields 430657, 434504 & 434614 Middle Cordeman Farm St Marks Country Park Cordeman Road St Marks Ballasalla Isle Of Man  ","Erection of hut, positioning of portable cabins (both retrospective) and creation of a turning area",Permitted,17-Jul-18,Planning Committee
18/00472/B,Elsdon Walpole Drive Ramsey Isle Of Man IM8 1LX,Removal of a rear chimney,Permitted,07-Aug-18,Principal Planner - South (SC)
18/00473/B,31 Selborne Drive Douglas Isle Of Man IM2 3NJ,Replacement of front elevation windows with PVC windows with coloured lead fanlights to match those currently in place as near as possible.,Refused,06-Sep-18,Head of Development Management
18/00474/B,Kinleys Croft Bernahara Road Andreas Isle Of Man IM7 2EL,Erection of a conservatory to rear elevation,Permitted,07-Aug-18,Principal Planner - South (SC)
18/00475/C,The Rule Main Road Sulby Isle Of Man IM7 2HR,Change of use of storage area above garage to provide living accommodation (retrospective),Permitted,27-Nov-18,Planning Committee
18/00476/B,Thie-My-Chree Tynwald Road Peel Isle Of Man IM5 1JN,"Alterations, creation of additional vehicular access and associated landscaping works",Refused,07-Aug-18,Principal Planner - South (SC)
18/00477/B,6 Albert Street Ramsey Isle Of Man IM8 1JF,Removal of existing centre chimney stacks,Permitted,12-Oct-18,Head of Development Management
18/00478/B,Edd Beg (formally Toms Cottage) Kerrowkeil Road Grenaby Ballasalla Isle Of Man IM9 3BB,Alterations and erection of a two storey rear extension,Permitted,28-Jun-18,Principal Planner- North (CB)
18/00479/B,28 King Orry Road Glen Vine Isle Of Man IM4 4ES,Replacement of existing conservatory roof with tiled roof,Permitted,14-Jun-18,Director 2017+
18/00480/B,1 Fuchsia Close Reayrt Ny Keylley Peel Isle Of Man IM5 1GL ,Replacement of existing conservatory roof with tiled roof,Permitted,19-Jul-18,Head of Development Management
18/00481/B,Ballachrink Park Ballachrink Farm Ballanicholas Garth Crosby Isle Of Man IM4 2HD ,Creation of private access drive to agricultural workers dwelling,Permitted,31-Jul-18,Planning Committee
18/00482/C,Unit 1 & 2 Concorde House Westbourne Road Ramsey Isle Of Man IM8 2ER ,Change of use from Dental Laboratory and associated office accommodation to Dog Day Care,Permitted,17-Jul-18,Planning Committee
18/00483/B,Boundary Wall Adjacent To Goods Shed Manx Electric Railway Buildings New Road Laxey Isle Of Man  ,Reduction in height of existing boundary wall,Permitted,14-Jun-18,Director 2017+
18/00484/B,Land Adjacent To Longmead Ballakillowey Road Colby Isle Of Man  ,"Erection of a detached dwelling with associated driveway, gardens, landscaping and drainage and creation of a vehicular access",Application Withdrawn,21-Nov-18,Withdrawn
18/00485/B,Gordon Farm Gordon Lane Gordon Peel Isle Of Man IM5 3AS,Erection of agricultural building,Permitted,02-Oct-18,Planning Committee
18/00486/B,27 Gladstone Avenue Ramsey Isle Of Man IM8 2LE,Erection of rear porch,Permitted,30-Aug-18,Head of Development Management
18/00487/D,Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ,Installation of non-illuminated signage on Bridge Street - Registered Building 269 (In association with RB application 18/00488/CON),Permitted,21-Jun-18,Director 2017+
18/00488/CON,Lorne House Douglas Street Castletown Isle Of Man IM9 1AZ ,Registered Building Consent for the installation of non-illuminated signage on Bridge Street - Registered Building 269 (In association with application 18/00487/D),Permitted,21-Jun-18,Director 2017+
18/00489/B,Ballavar Old Castletown Road Santon Isle Of Man IM4 1EY,Alterations to windows on rear and side elevations,Permitted,13-Aug-18,Principal Planner - South (SC)
18/00490/B,Holmleigh Main Road Kirk Michael Isle Of Man IM6 1AD,Installation of a replacement front door,Permitted,26-Jul-18,Principal Planner- North (CB)
18/00491/D,Ground Floor 20 Duke Street Douglas Isle Of Man IM1 2AY ,Installation of non-illuminated signage to rear (retrospective),Permitted,31-Aug-18,Head of Development Management
18/00492/B,Carnaween Battery Road Peel Isle Of Man IM5 1UD,Erection of new garage to rear of dwelling,Permitted,23-Aug-18,Principal Planner - South (SC)
18/00493/B,Suncrest South Cape Laxey Isle Of Man IM4 7HY ,Alterations and creation of an additional floor to dwelling,Permitted,04-Oct-18,Planning Committee
18/00494/B,Glen Luce Station Road Ballaugh Isle Of Man IM7 5AL,"Alterations and additions including pitched roof over existing flat roof area, installation of 4 dormers and cladding of garage and porch in timber (amendment to PA 17/01271/B)",Permitted,21-Jun-18,Director 2017+
18/00495/B,26 Laurel Avenue Onchan Isle Of Man IM3 3JE,Replacement of existing garage door with a window and erection of a rear extension,Permitted,31-Aug-18,Head of Development Management
18/00496/B,16 Cronk Drean Douglas Isle Of Man IM2 6AY,Extension of existing pitched roof over existing bay window to front elevation,Permitted,21-Jun-18,Director 2017+
18/00497/A,Woodstock Vicarage Road Douglas Isle Of Man IM4 2QP,Approval in principle for the construction of five dwellings to replace existing workshop and two existing dwellings addressing means of access,Refused,23-Aug-18,Head of Development Management
18/00498/B,16 Richmond Grove Douglas Isle Of Man IM1 3JZ,Replacement UPVC windows to the front elevation,Permitted,21-Jun-18,Director 2017+
18/00499/B,39 Malew Street Castletown Isle Of Man IM9 1AE,Installation of replacement windows and door on rear elevation,Permitted,28-Jun-18,Principal Planner- North (CB)
18/00500/B,13 Queens Terrace Douglas Isle Of Man IM1 4BZ,Installation of replacement roof slates,Permitted,21-Jun-18,Director 2017+
18/00501/D,6 Regent Street Douglas Isle Of Man IM1 2EA ,Installation of illuminated signage,Permitted,14-Sep-18,Head of Development Management
18/00502/C,4 Clybane Close Douglas Isle Of Man IM2 2LS,Additional use of residential dwelling as tourist living accommodation,Permitted,19-Jul-18,Head of Development Management
18/00503/B,16 Creggan Lea Port St. Mary Isle Of Man IM9 5BE,Alterations and erection of an extension,Permitted,19-Jul-18,Head of Development Management
18/00505/B,34 Ballakermeen Drive Douglas Isle Of Man IM1 4HS,Creation of a driveway and vehicular access,Permitted,31-Aug-18,Head of Development Management
18/00506/B,Camellia House Minorca Hill Laxey Isle Of Man IM4 7DN,"Erection of single storey extension with balcony over, including the removal of two existing single storey extensions and balconies",Permitted,14-Sep-18,Head of Development Management
18/00507/B,5 Faaie Craine Ballaugh Isle Of Man IM7 5AD,Alterations and erection of extensions,Permitted,07-Aug-18,Principal Planner - South (SC)
18/00508/B,Close-Y-Chairm 4 The Crofts Castletown Isle Of Man IM9 1LY,"Alterations, erection of extension, creation of bin store, and installation of replacement windows, fencing, solar panels, satellite dish, oil tank and replacement entrance canopy",Permitted,13-Aug-18,Planning Committee
18/00509/B,Carlton Hillberry Road Onchan Isle Of Man IM3 3BQ,Alterations and erection of a two storey extension,Permitted,06-Nov-18,Head of Development Management
18/00510/A,Proposed Dwelling Ballachrink Farm Jurby East Isle Of Man  ,Approval in principle for the erection of a two bedroom dwelling to replace existing joinery workshop,Permitted,05-Oct-18,Planning Committee
18/00511/B,Field 431255 St Marks Ballasalla Isle Of Man  ,Erection of an agricultural building,Permitted,27-Jun-18,Head of Development Management
18/00512/B,Access Lane Off Sulby Straight Sulby Straight Sulby Isle Of Man  ,Re construction of existing access lane,Permitted,27-Nov-18,Head of Development Management
18/00513/B,Field 434756 (Formerly 660) Ballamodha Straight Ballamodha Ballasalla Isle Of Man  ,Erection of an agricultural building,Permitted,31-Jul-18,Planning Committee
18/00514/B,Ballakeigh Farm West Kimmeragh Road Bride Isle Of Man IM7 4BA,Erection of an agricultural building,Permitted,24-Aug-18,Principal Planner - South (SC)
18/00515/B,2 Croft Park Andreas Isle Of Man IM7 4HN,Window and door alterations to dwelling,Permitted,31-Aug-18,Head of Development Management
18/00516/B,24 Wentworth Close Onchan Isle Of Man IM3 2JT,Removal of existing sliding door and adjustments to create new window in same style as existing units,Permitted,21-Jun-18,Director 2017+
18/00517/B,Reayrt Y Jiass Orrisdale Road Ballasalla Isle Of Man IM9 3AE ,Alterations and erection of extensions,Permitted,28-Jun-18,Principal Planner- North (CB)
18/00518/CON,St Michaels Church Main Road Kirk Michael Isle Of Man IM6 1ER ,Registered Building consent for alterations/removal of pews (RB 248),Permitted,30-Aug-18,Principal Planner - Enf (AM)
18/00520/B,Harrison Farm Barroose Road Baldrine Isle Of Man IM4 6AP ,Create operating centre for parking a minibus (off road),Permitted,27-Nov-18,Planning Committee
18/00521/B,6 Manor View Douglas Isle Of Man IM2 2PB ,Alterations and erection of an extension,Permitted,20-Jul-18,Head of Development Management
18/00522/B,3 Lhon Dhoo Close Onchan Isle Of Man IM3 3BD,Removal of a chimney,Permitted,19-Jul-18,Head of Development Management
18/00523/B,21 William Proctor Court Reayrt Y Sheear Douglas Isle Of Man IM2 6PR ,"Alterations, erection of rear extension and enclosure of front porch",Permitted,27-Jun-18,Head of Development Management
18/00526/B,"Unit's 20, 21, 22, 23, 24, 25 & 26 Gladstone Park Industrial Estate Gladstone Way Ramsey Isle Of Man IM8 2LA ",Sub division of existing units to create eight units with associated doors and use of unit 25 as a bakery (retrospective),Permitted,06-Dec-18,Head of Development Management
18/00527/B,9 Belgravia Road Onchan Isle Of Man IM3 1HN,Replacement of existing conservatory with single storey sun lounge extension,Permitted,31-Aug-18,Head of Development Management
18/00531/B,The Willow Hibernia Maughold Road Maughold Isle Of Man IM7 1EN ,Conversion of existing detached garage to provide ancillary living accommodation,Refused,23-Oct-18,Head of Development Management
18/00532/REM,Land To East Of Old School House Main Road Sulby Isle Of Man  ,Reserved Matters application for the erection of a detached dwelling (relating to PA 15/00794/A),Refused,03-Dec-18,Planning Committee
18/00533/B,Ballasalla  Farm  Coast Road Jurby Isle Of Man IM7 3AS ,Erection of an agricultural building for the storage of machinery and implements,Refused,12-Oct-18,Head of Development Management
18/00534/B,Manxonia House Bay View Road Port St. Mary Isle Of Man IM9 5AE,Installation of replacement windows,Permitted,25-Jul-18,Principal Planner- North (CB)
18/00535/B,Avonmore Main Road Kirk Michael Isle Of Man IM6 1ER,Alterations to existing walls to improve access and creation of additional parking (in association with PA 18/00536/CON),Permitted,30-Aug-18,Head of Development Management
18/00536/CON,Avonmore Main Road Kirk Michael Isle Of Man IM6 1ER,Registered Building consent for alterations to existing walls to improve access and creation of additional parking (in association with PA 18/00535/B),Permitted,30-Aug-18,Head of Development Management
18/00537/B,Warehouse Office & Showroom Former Barry Curran Car Showroom And Farmers Combine West Quay Ramsey Isle Of Man ,Demolition of existing buildings on site and provision of protection and treatment of adjoining and attached buildings,Application Withdrawn,09-Jul-18,Withdrawn
18/00540/B,Plot 124 Royal Park Ramsey Isle Of Man  ,Erection of detached house with integral garage (incorporating amendments to PA16/00232/B),Permitted,12-Jul-18,Head of Development Management
18/00541/B,Karrin 4 Mountain View Peel Isle Of Man IM5 1QD,"Demolition of existing annex and erection of replacement extension on rear of property, creation of outer front door including enclosure of porch, and removal of redundant chimney.",Permitted,10-Jul-18,Principal Planner- North (CB)
18/00542/B,2 Kellys Court St Peters Lane Peel Isle Of Man IM5 1AP,Installation of replacement front and rear doors,Permitted,26-Jul-18,Principal Planner- North (CB)
18/00543/B,Creg Ny Shee Lhergydhoo Peel Isle Of Man IM5 2AE ,Erection of rear extension,Permitted,26-Jul-18,Principal Planner- North (CB)
18/00544/B,Ballamodha Moar Field 431382 Ballamodha Straight Ballasalla Isle Of Man IM9 3EL,Construction of a slurry lagoon,Permitted,10-Jul-18,Principal Planner- North (CB)
18/00545/B,46 Main Road Onchan Isle Of Man IM3 1AL ,Alterations to former Kenyon's Youth Cafe to form dwelling,Permitted,05-Sep-18,Head of Development Management
18/00546/B,Stables Ballaclucas Farm Top Road Crosby Isle Of Man  ,Extensions and alterations to equestrian facilities to provide storage,Permitted,10-Jul-18,Principal Planner- North (CB)
18/00547/B,25 Third Avenue Onchan Isle Of Man IM3 4LZ,Creation of a vehicular access,Permitted,31-Aug-18,Head of Development Management
18/00548/B,Cronkbourne Business Park Ballafletcher Farm Road Cronkbourne Douglas Isle Of Man  ,Erection of an industrial unit,Permitted,17-Dec-18,Head of Development Management
18/00549/B,Flat   12 Malew Street Castletown Isle Of Man IM9 1AB,Refurbishment of upper floors to create three number 1 bed apartments,Refused,24-Dec-18,Head of Development Management
18/00550/B,4 Tromode Green Douglas Isle Of Man IM2 5NT ,Alterations and erection of rear extension,Permitted,10-Sep-18,Head of Development Management
18/00552/B,Dreemskerry Lag Birragh Drive Onchan Isle Of Man IM3 2JW,Alterations and erection of extension,Permitted,10-Sep-18,Head of Development Management
18/00553/B,Ballashalom Glen Road Laxey Isle Of Man IM4 4AP ,Alterations and additions to dwelling substantially completed (dwelling approved under 15/00878/B),Permitted,31-Aug-18,Head of Development Management
18/00554/B,Holly Holme Main Road Greeba Isle Of Man IM4 2DU,Widening of existing vehicular access,Refused,27-Nov-18,Head of Development Management
18/00555/B,Holly Cottage 57 Governors Road Onchan Isle Of Man IM3 1AZ ,Alterations and erection of extension (retrospective),Permitted,11-Sep-18,Head of Development Management
18/00556/B,11 Orchard Close Andreas Isle Of Man IM7 4HP,Alterations to provide access and ramp for disabled use,Permitted,14-Aug-18,Principal Planner - South (SC)
18/00557/B,9 Christian Street Peel Isle Of Man IM5 1NW,Replacement of existing timber windows and doors with double glazed UPVC sliding sash windows and UPVC cottage style doors.,Permitted,20-Jul-18,Head of Development Management
18/00558/B,Rose Cottage Braaid Road Braaid Isle Of Man IM4 2AW,Replacement of existing conservatory glazed roof with tiles,Permitted,11-Sep-18,Head of Development Management
18/00559/B,2 Maple Close Onchan Isle Of Man IM3 3JS ,Replacement of existing conservatory roof with tiled roof,Permitted,03-Jul-18,Head of Development Management
18/00560/B,18 Wentworth Close Onchan Isle Of Man IM3 2JT,Replacement of existing conservatory glazed roof with tiles,Permitted,03-Jul-18,Principal Planner - South (SC)
18/00561/C,Shop 35 Parliament Street Ramsey Isle Of Man IM8 1AT ,Change of use from retail (Class 1) to a dog grooming business,Permitted,02-Jul-18,Principal Planner- North (CB)
18/00562/B,Ardine Strang Road Union Mills Isle Of Man IM4 4NW,Installation of a rear dormer window,Permitted,11-Sep-18,Head of Development Management
18/00563/B,Rosebank Baldrine Hill Baldrine Isle Of Man IM4 6DQ,Alterations to pedestrian access (retrospective) to create a vehicular access including alterations to boundary wall and porch to provide visibility,Permitted,03-Jul-18,Principal Planner - South (SC)
18/00564/B,Niarbyl Bridson Street Port Erin Isle Of Man IM9 6AN,Creation of a doorway from an existing window,Permitted,10-Jul-18,Principal Planner- North (CB)
18/00565/B,East Tram Shed Manx Electric Railway Depot King Edward Road Douglas Isle Of Man  ,Recladding of walls in facing brick and roof in profiled metal,Permitted,03-Jul-18,Principal Planner - South (SC)
18/00566/B,Ballacallow Glen Road Colby Isle Of Man IM9 4PA,"Refurbishment of existing home study, including replacement windows and doors, and the installation of two new roof lights.",Permitted,17-Jul-18,Planning Committee
18/00567/B,Highcrest Highfield Drive Baldrine Isle Of Man IM4 6ED,Replacement of existing conservatory glazed roof with tiles,Permitted,03-Jul-18,Principal Planner - South (SC)
18/00568/B,9 Meadowbrook Gardens Douglas Isle Of Man IM2 2NT,"Alterations, erection of rear extension and a first floor extension above garage",Permitted,11-Sep-18,Head of Development Management
18/00569/B,17 The Meadows Kirk Michael Isle Of Man IM6 1EX,Installation of a dormer window,Permitted,20-Jul-18,Head of Development Management
18/00570/B,The Old Rectory Bride Isle Of Man IM7 4AT ,Erection of garden room,Permitted,19-Jul-18,Head of Development Management
18/00571/B,The Orchard Ballacollister Road Laxey Isle Of Man IM4 7JR,Installation of obscured glass window in side elevation of existing garage in connection with part conversion into en-suite.,Permitted,11-Sep-18,Head of Development Management
18/00572/B,7 Mull View Kirk Michael Isle Of Man IM6 1AQ,"Alterations and additions to property including raising pitch of roof, installation of dormer, erection of larger garden room and extension to rear of garage.",Permitted,20-Jul-18,Head of Development Management
18/00573/B,Riversdale Strang Road Union Mills Isle Of Man IM4 4NP,"Alterations, erection of a two storey extension and alterations to vehicular access",Permitted,31-Oct-18,Principal Planner- North (CB)
18/00574/B,Store Building Land Adjoining Dalby House Dalby Isle Of Man  ,Erection of an agricultural building to replace existing,Permitted,14-Sep-18,Head of Development Management
18/00575/B,10 Albany Street Douglas Isle Of Man IM2 3LE,Installation of replacement windows and French doors to rear elevation,Permitted,23-Jul-18,Head of Development Management
18/00576/B,6 Bradda Close Onchan Isle Of Man IM3 4BL,Removal of a chimney stack,Permitted,31-Aug-18,Head of Development Management
18/00577/B,Field 314831 Land Adjoining Cronk Dhoo Main Road Greeba Isle Of Man  ,Erection of an agricultural building,Refused,17-Dec-18,Head of Development Management
18/00578/B,20 Grove Mount West Ramsey Isle Of Man IM8 3PE,"Alterations, creation of a dormer extension and erection of an extension to replace existing conservatory",Permitted,14-Sep-18,Principal Planner - South (SC)
18/00579/B,27 Mountain View Douglas Isle Of Man IM2 5HX,Replacement of existing conservatory with larger conservatory and wet room,Permitted,20-Jul-18,Head of Development Management
18/00580/B,Mill House Main Road Glen Maye Isle Of Man IM5 3BH,Alterations and first floor extension to rear of dwelling,Permitted,19-Jul-18,Head of Development Management
18/00581/B,Oakwood Lodge Mount Bradda Douglas Isle Of Man IM1 4AS,Replacement of rear door with new Veka white UPVC door and top-light,Permitted,23-Jul-18,Head of Development Management
18/00582/B,Sunlaws Whitebridge Avenue Ramsey Isle Of Man IM8 3PW,Alterations and erection of an extension,Permitted,11-Sep-18,Head of Development Management
18/00583/B,5 Brunswick Road Douglas Isle Of Man IM2 3LH,"Conversion of ground floor accommodation to private doctors surgery, including creation of off street parking area to rear",Permitted,14-Sep-18,Head of Development Management
18/00584/B,2 Lhargan Port St. Mary Isle Of Man IM9 5AR,Rendering works (retrospective),Permitted,20-Jul-18,Head of Development Management
18/00585/LAW,2 Lhargan Port St. Mary Isle Of Man IM9 5AR,Application to make lawful the installation of a replacement roof,Certificate of Lawfulness AGREED,10-Jul-18,Principal Planner- North (CB)
18/00586/B,4 Queens Avenue Douglas Isle Of Man IM1 4DA,Installation of replacement windows,Permitted,21-Sep-18,Head of Development Management
18/00587/B,Kelburn Douglas Road Ballasalla Isle Of Man IM9 2ER,87Alterations and additions including adjustments to vehicular accesses and side and rear extensions,Permitted,20-Jul-18,Head of Development Management
18/00588/B,Wendover 26 Second Avenue Douglas Isle Of Man IM2 6AP,Alterations and erection of extensions including attached garage to side elevation,Permitted,31-Aug-18,Head of Development Management
18/00589/B,Carrick Jairg Belle Vue Peel Isle Of Man IM5 1UH,"Alterations to property including replacement and changes to conservatory, porch, dormer roofs and replacement roof tiles",Permitted,17-Aug-18,Principal Planner - South (SC)
18/00590/B,Part Of Playing Fields Nobles Park Douglas Isle Of Man  ,"Variation of condition two of PA 18/00104/B, Erection of a temporary building to be used as a bar and hospitality facility during the TT and Festival of Motoring periods, to allow the facilities to remain in place during the intervening period between the",Permitted,13-Aug-18,Planning Committee
18/00591/C,Triskele Patrick Corner Patrick Village Isle Of Man IM5 3AL,Change of use of ground floor extension from residential and tourist accommodation to residential accommodation,Permitted,17-Jul-18,Director 2017+
18/00592/A,Pro Tem Ballamodha Straight Ballamodha Ballasalla Isle Of Man  ,"Approval in principle for the refurbishment/restoration of a Manx Tholtan with new build around existing structure, with all detailed matters reserved",Application Withdrawn,27-Sep-18,Withdrawn
18/00594/B,Addison House 7 Hutchinson Square Douglas Isle Of Man IM2 4HU,Installation of replacement windows to front elevation,Refused,18-Oct-18,Head of Development Management
18/00595/B,Nane Darragh Douglas Road Ballasalla Isle Of Man IM9 2ER,Installation of first floor gable window (retrospective),Permitted,17-Jul-18,Director 2017+
18/00596/B,Thie-My-Chree Douglas Road Castletown Isle Of Man IM9 1TH,Erection of polytunnel on land to the rear of existing property,Permitted,07-Aug-18,Principal Planner - South (SC)
18/00597/B,44 Albany Road Douglas Isle Of Man IM2 3NA,Alterations and additions to property including demolition of existing rear yard buildings and replacement with single storey extension (in connection with Registered Building Application 18/00598/CON),Permitted,20-Jul-18,Head of Development Management
18/00598/CON,44 Albany Road Douglas Isle Of Man IM2 3NA,Registered Building Consent for demolition of existing rear yard outbuildings as part of works  (in connection with application 18/00597/B),Permitted,20-Jul-18,Head of Development Management
18/00599/B,Land South West Of Colby AFC Clubhouse Station Road Colby Isle Of Man  ,Erection of a spectator stand and creation of an access path from existing car park,Permitted,31-Aug-18,Head of Development Management
18/00600/B,Stores And Workshops Hills Meadow Industrial Estate Douglas Isle Of Man IM1 5EA ,"Alterations in connection with conversion of existing storage area to open plan office space, installation of mezzanine floor to provide additional office space, and demolition of redundant workshops at rear of building to create additional parking.",Permitted,02-Oct-18,Planning Committee
18/00601/A,Plot Adjacent Number 12 Clifton Drive Ramsey Isle Of Man  ,Approval in principle for the erection of a dwelling,Permitted,24-Sep-18,Head of Development Management
18/00602/B,Ashbourne House Ballacraine St Johns Isle Of Man IM4 3NF ,"Variation of condition one of PA 13/90931/B, Erection of a detached dwelling with associated landscaping, creation of an additional driveway and alterations to existing vehicular access, to extend the period of permission by four years",Permitted,26-Jul-18,Head of Development Management
18/00603/B,Esperance The Gate Bayrauyr Road St Marks Ballasalla Isle Of Man IM9 3AT,"Alterations to property including two storey bay window and dormer, small dormer, four rooflights and window in front gable",Permitted,31-Aug-18,Head of Development Management
18/00604/B,8 Erin Lane Port Erin Isle Of Man IM9 6FE ,Replacement of existing conservatory roof with tiled roof,Permitted,20-Jul-18,Head of Development Management
18/00605/B,19 Pairk Beg Port Erin Isle Of Man IM9 6NQ,Erection of single storey extension to rear of property,Permitted,13-Aug-18,Head of Development Management
18/00607/B,9 Somerset Road Douglas Isle Of Man IM2 5AD,"Erection of extension to kitchen and boiler room/store, and enlargement of first floor terrace area",Permitted,16-Aug-18,Principal Planner - South (SC)
18/00608/B,Thie Gennal Foxdale Road St Johns Isle Of Man IM4 3AP ,"Variation of condition 3 of PA 12/00646/B, Erection of a replacement outbuilding to provide ancillary office/store, to convert office / store to tourist living accommodation",Permitted,11-Oct-18,Principal Planner - Enf (AM)
18/00609/B,Hopes And Dreams The Buchan Nursery Buchan School Arbory Road Castletown Isle Of Man IM9 1TD ,Erection of detached classroom unit within school grounds (retrospective),Permitted,30-Aug-18,Head of Development Management
18/00611/B,Monks Bridge Cottage Abbey Road Lane Ballasalla Isle Of Man IM9 3DE,"Alterations, erection of extension and installation of a pitched roof",Permitted,20-Jul-18,Head of Development Management
18/00612/B,43 Arbory Street Castletown Isle Of Man IM9 1LL,Installation of replacement windows to rear elevation,Permitted,23-Jul-18,Head of Development Management
18/00613/B,Ballakaighen Farm Whitebridge Road Onchan Isle Of Man IM4 6AD ,"Demolition of two existing stone barns and erection of a multi-purpose building for entertainment and leisure activities, including access road, car park and associated landscaping",Permitted,16-Nov-18,Planning Committee
18/00614/B,18 & 20 Church Avenue Onchan Isle Of Man IM3 4ED,Removal of a shared chimney stack (retrospective),Refused,06-Sep-18,Head of Development Management
18/00615/B,16 Cedar Walk Douglas Isle Of Man IM2 5NG,"Alterations to existing conservatory including new flat roof, lantern and adjustments to window/door openings",Permitted,21-Sep-18,Head of Development Management
