PA Ref,ADDRESS,PROPOSAL,Decision issued,Determining Body,Decision
15/00446/B,Hilltop Howe Road Port St. Mary Isle Of Man IM9 5PR,External alterations to dwelling,02-Jun-15,Director Delegation,Permitted
15/00447/B,Fields 314574 & 314514 Poortown Road Peel Isle Of Man  ,Construction of a facility for the temporary (maximum 5 years) storage of dredgings from Peel Marina,26-Aug-15,Department Application,Permitted
15/00448/B,Field 425114 & 425023 Ballaglonney Farm  Ronague Road Ronague Castletown Isle Of Man  ,"Refurbishment, restoration and extension of existing tholtan to form a dwelling house",25-Aug-15,Planning Committee,Permitted
15/00449/LAW,Land Adj To Ellenbrook Farm Old Castletown Road Douglas Isle Of Man  ,Certificate of Lawful Development for the creation of hard standing,26-Oct-15,Director Delegation,Certificate of Lawfulness AGREED
15/00450/B,1 Hildesley Road Douglas Isle Of Man IM2 5AU,Installation of replacement windows and door and alteration to ground floor bay window,28-May-15,Senior Planning Officer - South (SC),Permitted
15/00451/B,Part Field 424885 Adjacent To St Columba's Church Ballagawne Road Ballabeg Castletown Isle Of Man  ,Extension of existing graveyard and creation of a vehicular access,25-Jun-15,Head of Development Management,Permitted
15/00452/D,3 And 4 The Promenade Port St. Mary Isle Of Man  ,Erection of advertising signage,09-Jun-15,Director Delegation,Permitted
15/00453/B,St Marys House High Street Port St. Mary Isle Of Man IM9 5DR,"Replacement of two dormer windows to rear elevation with velux combination roof lights, re-roofing of main roof and alteration to rear elevation  window",09-Jun-15,Director Delegation,Permitted
15/00454/A,Land At Mooragh Estate Between Ramsey Park Hotel & Rugby Pitch To East Of Mooragh Estate Road Mooragh Promenade Ramsey Isle Of Man  ,Approval in principle for the development of a community sports hall and ancillary facilities to address siting,25-Nov-15,Withdrawn,Application Withdrawn
15/00455/C,Ground Floor  River Lodge Lezayre Road Ramsey Isle Of Man IM8 2TG ,Change of use from existing office accommodation to a children's nursery and erection of gates and fencing,02-Jun-15,Planning Committee,Permitted
15/00456/B,Mona Cottage Bay View Road Port St. Mary Isle Of Man IM9 5AE,Erection of a single storey extension to rear elevation with decking,14-Jul-15,Head of Development Management,Permitted
15/00457/B,St John Ambulance Headquarters Glencrutchery Road Douglas Isle Of Man IM2 6BG,Installation of additional exterior lighting to car park,28-May-15,Senior Planning Officer - South (SC),Permitted
15/00458/B,Baldromma Christian Ballamenagh Road Baldrine Isle Of Man IM4 6AG,Erection of a replacement dwelling (amendment to PA 13/91534/B),10-Jun-15,Director Delegation,Permitted
15/00459/B,Site Within Archallagan Plantation Archallagan Road Eairy Isle Of Man  ,Construction of timber boardwalk overlaying existing forest track,26-May-15,Director Delegation,Permitted
15/00460/B,17 Mountain View Peel Isle Of Man IM5 1QF ,Widening of vehicular access onto highway,09-Jun-15,Director Delegation,Permitted
15/00461/B,Plot 76A & Plot 76B New Development Adjacent To Cronk Cullyn Colby Isle Of Man  ,Erection of two detached dwellings with integral garages (amendment to PA 15/00189/B),09-Jun-15,Director Delegation,Permitted
15/00462/B,Car Park Chibbanagh Plantation Cooil Road Braaid Isle Of Man  ,Extension to existing car park and creation of picnic area,04-Nov-15,Department Application,Permitted
15/00463/B,Ash Lodge Patrick Road St Johns Isle Of Man IM4 3BR,Alteration to vehicular access,14-Jul-15,Director Delegation,Permitted
15/00464/B,Esholt Quarterbridge Road Douglas Isle Of Man IM2 3RJ,Alteration and erection of decking,08-Jun-15,Director Delegation,Permitted
15/00465/B,Grosvenor Court 1 Derby Terrace Central Promenade Douglas Isle Of Man IM2 4LN ,Installation of replacement front door,08-Jun-15,Director Delegation,Permitted
15/00466/C,Former Top Shop Premises   Duke Street/Lord Street  Douglas Isle Of Man IM1 2AY ,Change of use from retail unit to Henry Bloom Noble Library and associated ancillary facilities,09-Jun-15,Director Delegation,Permitted
15/00467/GB,Dunluce Ballure Road Ramsey Isle Of Man IM8 1NL,Installation of replacement side door and wooden gate to property (in association with 15/00468/CON),25-Jun-15,Head of Development Management,Permitted
15/00468/CON,Dunluce Ballure Road Ramsey Isle Of Man IM8 1NL,Registered Building consent for the installation of replacement side door and wooden gate to property (in association with 15/00467/GB) Registered Building Nos. 215,25-Jun-15,Head of Development Management,Permitted
15/00469/B,Bretney Ballanard Road Douglas Isle Of Man IM2 5PR,"Widening of vehicular access onto highway, improvements to turning area and replace existing hedge with blockwork wall and timber front boundary fence",18-Jun-15,Director Delegation,Permitted
15/00470/B,Ivy Dene Laureston Grove Douglas Isle Of Man IM2 4BG,Installation of window to replace existing door,08-Jun-15,Director Delegation,Permitted
15/00471/B,Harmony Cottage Braaid Road Glen Vine Isle Of Man IM4 2AS,Erection of a front porch to dwelling,23-Jul-15,Director Delegation,Permitted
15/00472/B,Gollane Farm Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF ,Conversion and extension of existing barn to a dwelling,08-Jun-15,Director Delegation,Permitted
15/00473/B,Gollane Farm  Clenagh Road Sandygate Ramsey Isle Of Man IM7 3AF ,Extension to hen house to create a garage (comprising amendments to PA 11/00159/B),08-Jun-15,Director Delegation,Permitted
15/00474/B,Land Within Grounds Douglas Bay Complex King Edward Road Onchan Isle Of Man  ,Creation of fifteen external parking spaces,08-Jun-15,Director Delegation,Permitted
15/00475/B,11 Meadowbrook Gardens Douglas Isle Of Man IM2 2NT,Replacement of existing glazed conservatory roof with roof tiles,26-Jun-15,Head of Development Management,Permitted
15/00476/C,Rear Of 46 Bucks Road Douglas Isle Of Man IM1 3AD ,Change of use of existing storage units to provide a self-contained office with associated parking provision,08-Jun-15,Director Delegation,Permitted
15/00477/B,Sunnyside Glen Auldyn Ramsey Isle Of Man IM7 2AQ ,"Replacement and extension of existing patio and rockery, construction of a new patio retaining wall and removal and rebuilding of sections of garden wall to dwelling",08-Jun-15,Director Delegation,Permitted
15/00478/B,Oakhill House Oak Hill Port Soderick Isle Of Man IM4 1AP ,Erection of a detached storage building,17-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00479/B,3 Collins Lane Ramsey Isle Of Man IM8 1AL,"Conversion of former antiques shop and store to a tea room and therapy rooms over two levels including installation of an extractor flue and creation of an additional entrance for disabled access provision, screened bin store and outside seating areas",30-Jun-15,Head of Development Management,Permitted
15/00480/D,The Co-Operative Food Bay View Road Port St. Mary Isle Of Man IM9 5AE,Alterations and installation of additional illuminated signage to existing signage,08-Jun-15,Director Delegation,Permitted
15/00481/B,31 Farmhill Lane Douglas Isle Of Man IM2 2EF,Alterations and erection of a rear extension to dwelling,03-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00482/B,58 Woodbourne Road Douglas Isle Of Man IM1 3AW,Window and door alterations and installation of rear flue outlet to dwelling,03-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00483/B,Cedar Lodge Main Road Crosby Isle Of Man IM4 4BH,"Alterations, erection of extension to dwelling and creation of driveway and access using existing access to double garage",16-Jun-15,Planning Committee,Permitted
15/00485/B,Kirk Bank Croit E Quill Road Laxey Isle Of Man IM4 7JD,"Alterations, erection of ground and first floor extensions and retaining wall to dwelling",25-Jun-15,Head of Development Management,Permitted
15/00486/B,Goshen Stables St Judes Road Sulby Isle Of Man  ,Alterations to vehicular access and relocation of approved equestrian storage building,18-Jun-15,Director Delegation,Permitted
15/00487/B,60 Broogh Wyllin Shore Road Kirk Michael Isle Of Man IM6 1HU ,Replacement of existing garage door with a window and installation of replacement roof tiles to dwelling,10-Jun-15,Director Delegation,Permitted
15/00488/B,Field 414234 Darragh Port Erin Isle Of Man,Erection of an agricultural storage building,17-Jul-15,Director Delegation,Permitted
15/00489/B,10 Clybane Road Douglas Isle Of Man IM2 2LP,Replacement and extension of existing fencing and inclusion of a side gate,16-Jun-15,Planning Committee,Permitted
15/00490/B,1 Church Street Peel Isle Of Man IM5 1HN,Installation of two replacement windows to rear elevation of dwelling,18-Jun-15,Director Delegation,Permitted
15/00491/B,Grenaby Mooar Grenaby Road Ballasalla Isle Of Man IM9 3BD ,Conversion of existing stable building into staff living accommodation and erection of a detached stable building,30-Jun-15,Planning Committee,Permitted
15/00492/B,6 Victoria Street Douglas Isle Of Man IM1 2LH,Conversion of existing office accommodation into six self-contained apartments,13-Jul-15,Planning Committee,Permitted
15/00493/D,New Cronk Cullyn Development Colby Isle Of Man IM9 4PS  ,Erection of two sales signage boards,26-Jun-15,Head of Development Management,Permitted
15/00494/B,9 Close Toalt Peel Isle Of Man IM5 1XB ,"Alterations, replacement of garage door with a window and erection of ground and first floor extensions to dwelling",19-Aug-15,Director Delegation,Permitted
15/00495/B,Troodos 32 Mill Street Castletown Isle Of Man IM9 1AG,Alterations and erection of extension to rear elevation of dwelling,18-Jun-15,Director Delegation,Permitted
15/00496/B,Thie Grainagh Main Road Glen Vine Isle Of Man IM4 4AU,Enlargement of existing chimney stack and provision of additional chimney pot (retrospective),10-Jun-15,Director Delegation,Permitted
15/00497/B,24 Buttermere Drive Onchan Isle Of Man IM3 2DY,"Creation of off street parking for two cars, replacement of garage door with bow window and installation of entrance door and side light to replace patio door",26-Jun-15,Head of Development Management,Permitted
15/00498/B,St Ninians High School Ballaquayle Road Douglas Isle Of Man IM2 5RA ,Alterations and extension to provide locker room facility within inner courtyard,10-Jun-15,Director Delegation,Permitted
15/00499/B,1 & 3 Reayrt Y Chrink Southlands Crescent Port Erin Isle Of Man IM9 6BE,Conversion of two flats into one flat,18-Jun-15,Director Delegation,Permitted
15/00500/B,Bulltrooan Farmhouse Lhoobs Road Foxdale Isle Of Man  ,Erection of a replacement dwelling with link extension to barn conversion to form a single dwelling,29-Sep-15,Withdrawn,Application Withdrawn
15/00501/B,Riverbank Glen Road Laxey Isle Of Man IM4 7AN ,Reconstruction of collapsed river bank wall,18-Jun-15,Director Delegation,Permitted
15/00502/B,Laxey Woollen Mills Weir Adjacent To Glen Road Laxey Isle Of Man  ,Reconstruction of river weir,18-Jun-15,Director Delegation,Permitted
15/00503/B,12 Westminster Terrace Douglas Isle Of Man IM1 4ED,Installation of replacement windows and door to front elevation,10-Jun-15,Director Delegation,Permitted
15/00504/B,Beechwood 12 Sartfell Road Douglas Isle Of Man IM2 3NB,"Installation of replacement windows, fascia, guttering and back door",10-Jun-15,Director Delegation,Permitted
15/00505/B,30 The Meadows Kirk Michael Isle Of Man IM6 1EY,Alterations to vehicular access and driveway,10-Jun-15,Director Delegation,Permitted
15/00506/REM,Field 430359 Glen Moar Corlea Road Grenaby Isle Of Man  ,"Reserved Matters application for the erection of agricultural buildings addressing siting, design, external appearance, internal layout and landscaping",30-Jun-15,Planning Committee,Permitted
15/00507/B,The Grange Knocksharry Farm  Ramsey Road Peel Isle Of Man IM5 2AF ,Construction of a single storey extension to link existing property to outbuildings,06-Aug-15,Director Delegation,Permitted
15/00508/B,The Craig 16 New Road Laxey Isle Of Man IM4 7BF,Enclosure of yard area to form an attached garage with patio area above,18-Jun-15,Director Delegation,Refused
15/00509/B,12 Groudle Road Onchan Isle Of Man IM3 2EJ,Erection of extension to provide additional living accommodation,26-Jun-15,Head of Development Management,Permitted
15/00510/B,11 Hawthorn Close Onchan Isle Of Man IM3 3HL,Erection of an extension and decked area to rear elevation,24-Jul-15,Director Delegation,Permitted
15/00511/B,Harbour Lights 4 Tent Road Laxey Isle Of Man IM4 7DB,Alterations and conversion of existing dwelling into two dwellings including replacement windows,26-Jun-15,Head of Development Management,Permitted
15/00512/B,The Greaves Ramsey Road Laxey Isle Of Man IM4 7PD,"Alterations and extensions, to include new garaging, to existing bed and breakfast accommodation",19-Jun-15,Director Delegation,Permitted
15/00513/B,Ballamillaghyn Farm   Mount Rule Douglas Isle Of Man IM4 4HT ,Alterations and extension to dwelling and erection of detached garage,10-Jun-15,Director Delegation,Permitted
15/00514/B,Bwaane Grianagh 1 Quarry Road Laxey Isle Of Man IM4 7DU ,Erection of extension to dwelling,19-Jun-15,Director Delegation,Permitted
15/00515/B,5 & 6 Manor View Douglas Isle Of Man  ,Erection of two detached dwellings with shared vehicular access,08-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00516/REM,Kionslieu Farm Kionslieu Hill Foxdale Isle Of Man IM4 3HB,"Reserved Matters Application relating to PA 12/00947/A, for the erection of a building to provide garage, recreation room and tourist accommodation, addressing design, external appearance and internal layout",20-Jul-15,Director Delegation,Permitted
15/00517/B,84 Lakeside Road Douglas Isle Of Man IM2 7DD,Erection of an extension to rear elevation of dwelling,18-Jun-15,Director Delegation,Permitted
15/00518/B,18 Second Avenue Douglas Isle Of Man IM2 6AW,Alterations and extensions to dwelling and erection of a greenhouse,26-Jun-15,Head of Development Management,Permitted
15/00519/B,"Plots 50, 51 & 52 (Plots 22 - 24) Cronk Cullyn Colby Isle Of Man  ",Erection of two semi-detached dwellings and one detached dwelling (amendments to dwellings approved under PA 13/91392/B),02-Dec-15,Planning Committee,Permitted
15/00520/B,The Bluffs Hawarden Avenue Douglas Isle Of Man IM1 4BX ,Enclosure of rear yard and installation of a garage door,18-Jun-15,Director Delegation,Permitted
15/00521/C,Croit E Caley Methodist Church Croit E Caley Colby Isle Of Man IM9 4AR ,Change of use of redundant chapel to residential dwelling,25-Jun-15,Director Delegation,Permitted
15/00522/B,67-70 (Plots 41-47) Cronk Cullyn Colby Isle Of Man  ,Erection of four detached dwellings with integral garages (comprising amendments to dwellings approved under PA 13/91392B),02-Dec-15,Planning Committee,Permitted
15/00523/B,3 Arbory Road Castletown Isle Of Man IM9 1NA,Re- rendering over existing stone walls with plain render finish,18-Jun-15,Director Delegation,Permitted
15/00524/B,Ballakew Ballagorry Drive Glen Mona Ramsey Isle Of Man IM7 1HE,Installation of flue and chimney stack,29-Jun-15,Head of Development Management,Permitted
15/00525/B,9 Drury Terrace Douglas Isle Of Man IM2 3HY,Installation of replacement windows to front and side elevations,24-Jul-15,Director Delegation,Permitted
15/00526/LAW,26 Christian Road Douglas Isle Of Man IM1 2QN ,Application to make lawful the use of building as seven apartments,07-Aug-15,Director Delegation,Permitted
15/00527/B,7 Kionslieu Terrace Foxdale Isle Of Man IM4 3JR ,Erection of a conservatory to rear elevation,18-Jun-15,Director Delegation,Refused
15/00528/D,Champion House Ballafletcher Road Cronkbourne Douglas Isle Of Man IM4 4QJ ,Erection of illuminated and non-illuminated signage,18-Jun-15,Director Delegation,Permitted
15/00529/B,Lilac Cottage Cronk Road Ballaugh Isle Of Man IM7 5AT,Erection of replacement garage/utility extension and sun lounge extension,18-Jun-15,Director Delegation,Permitted
15/00530/B,Primrose Cottage Minorca Vale Laxey Isle Of Man IM4 7DZ,Erection of an extension and a detached garage to dwelling,18-Aug-15,Senior Planning Officer - South (SC),Permitted
15/00531/B,Erin Arts Centre Victoria Square Port Erin Isle Of Man IM9 6LD,Alterations and erection of extension to provide storage areas,18-Jun-15,Director Delegation,Permitted
15/00532/B,Flat 1   7 Osborne Terrace Douglas Isle Of Man IM1 3LH,Installation of replacement windows and inclusion of French door to front elevation,18-Jun-15,Director Delegation,Permitted
15/00533/B,3 Windsor Terrace Douglas Isle Of Man IM1 3LU,Installation of replacement windows to front elevation,18-Jun-15,Director Delegation,Permitted
15/00534/B,12 Kirby Hill Douglas Isle Of Man IM2 1PA,Enclosure below existing entrance canopy to create an entrance porch,18-Jun-15,Director Delegation,Permitted
15/00535/B,31 Factory Lane Peel Isle Of Man IM5 1NA,Installation of replacement windows,18-Jun-15,Director Delegation,Permitted
15/00536/B,Land At Junction Of The Castleward Green And Ballanard Road Douglas Isle Of Man  ,Erection of two detached dwellings with integral garages,15-Jul-15,Planning Committee,Permitted
15/00537/B,14 Hildesley Road Douglas Isle Of Man IM2 5AZ,"Smooth render finish to rear elevation walls and installation of replacement fascia, guttering and downspouts",18-Jun-15,Director Delegation,Permitted
15/00538/B,9 The Fairway Onchan Isle Of Man IM3 2EL,Erection of a replacement front porch,29-Jun-15,Head of Development Management,Permitted
15/00539/A,Pennybridge Stables Main Road Kirk Michael Isle Of Man IM6 2HD ,"Approval in principle for the erection of two detached dwellings with associated parking on site of existing riding arena, addressing siting and means of access",15-Dec-15,Planning Committee,Permitted
15/00540/B,14 Crosby Terrace Douglas Isle Of Man IM2 5DG,Alterations to rear annex and installation of a roller door to yard,18-Jun-15,Director Delegation,Permitted
15/00541/B,23 Belmont Terrace Douglas Isle Of Man IM1 4NH,"Conversion of single apartment on ground floor and first floor rear annex, into two apartments",21-Sep-15,Planning Committee,Permitted
15/00542/B,Kerrow-Ny-Glough Cottage Mill Road Greeba Isle Of Man IM4 3LA,Alterations and erection of extensions to provide additional living accommodation (amendments to PA 07/01196/B),30-Jun-15,Planning Committee,Permitted
15/00543/B,Highcroft Station Road St Johns Isle Of Man IM4 3AH,Creation of additional window to south elevation,16-Jul-15,Director Delegation,Permitted
15/00544/B,3 Prospect Hill Douglas Isle Of Man IM1 1ES ,Conversion of former retail shop to a restaurant,08-Sep-15,Planning Committee,Permitted
15/00545/B,Field 214380 Upper Ballacrye Sandygate Ramsey Isle Of Man  ,Erection of a building to form three stables with feed and bedding store and creation of field access,03-Aug-15,Director Delegation,Permitted
15/00546/B,67 Farmhill Meadows Douglas Isle Of Man IM2 2LW,"Alterations, erection of single and two storey extension to dwelling and widening of driveway and vehicular access",18-Jun-15,Director Delegation,Refused
15/00547/B,The Manse 18 The Park Onchan Isle Of Man IM3 1HP,Erection of a two storey extension to rear elevation,14-Jul-15,Head of Development Management,Permitted
15/00548/B,22 Greenlands Avenue Ramsey Isle Of Man IM8 2PN,Alterations to dwelling including erection of a replacement porch and replacement of a rear door with a window,29-Jun-15,Head of Development Management,Permitted
15/00549/B,Corkhills Service Station Main Road Onchan Isle Of Man IM3 1BA ,Installation of an ATM,23-Jul-15,Director Delegation,Permitted
15/00550/D,75 Parliament Street Ramsey Isle Of Man IM8 1AQ,Erection of illuminated and non-illuminated advertising signage,02-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00551/B,10 Ballaquane Park Peel Isle Of Man IM5 1PT,Erection of extension to side elevation and widening of existing vehicular access,16-Jul-15,Director Delegation,Permitted
15/00552/A,Land Adjacent To And Chapel Gate Car Park Bay View Road Port St. Mary Isle Of Man  ,"Approval in principle for a residential development with associated car park, addressing siting, means of access and landscaping",13-Aug-15,Planning Committee,Permitted
15/00553/B,Cly Ny Mona Ballamodha Straight Ballasalla Isle Of Man IM9 3EL,"Variation of condition one of approved PA 11/00737/B for alterations and extension to dwelling, to extend period of permission",29-Jun-15,Head of Development Management,Permitted
15/00554/B,The Gables Ballafesson Road Port Erin Isle Of Man IM9 6TX,Alterations and erection of a rear extension to dwelling,29-Jun-15,Head of Development Management,Permitted
15/00555/B,8 Balleigh Park Ramsey Isle Of Man IM8 3NL,Erection of a replacement rear sun room extension to dwelling,29-Jun-15,Head of Development Management,Permitted
15/00556/B,Far End Barn  Far End Glen Auldyn Ramsey Isle Of Man  ,Alterations and extensions to existing outbuilding to form a new dwelling (part retrospective),29-Jun-15,Head of Development Management,Permitted
15/00557/B,23 Ballanoa Meadow Santon Isle Of Man IM4 1HQ ,Creation of a window and installation of a flue to south eastern elevation of dwelling,29-Jun-15,Head of Development Management,Permitted
15/00558/B,29 Wybourn Drive Onchan Isle Of Man IM3 4AT,Enlargement of an existing window to dwelling,29-Jun-15,Head of Development Management,Permitted
15/00559/B,Rhendhoo Farm Rhendhoo Road Jurby Isle Of Man IM7 3HB,Erection of an agricultural building,14-Jul-15,Director Delegation,Permitted
15/00560/B,12 Croit Ny Glionney Colby Isle Of Man IM9 4PP ,Erection of a two storey extension to side elevation,14-Jul-15,Director Delegation,Permitted
15/00561/B,Land Adjacent To  10 Mourne View Peel Isle Of Man  ,Extension to residential curtilage,13-Jul-15,Planning Committee,Permitted
15/00562/B,31 Linden Gardens Douglas Isle Of Man IM2 6AB ,Installation of dormer to rear elevation,29-Jun-15,Head of Development Management,Permitted
15/00563/B,Ballalhen Cottage The Lhen Andreas Isle Of Man IM7 3EH ,Installation of flue on existing conservatory,29-Jun-15,Head of Development Management,Permitted
15/00564/A,Field Number 230451  Adjacent To Overdale Balleira Road Kirk Michael Isle Of Man  ,Approval in principle for the erection of a detached dwelling to determine siting and means of access,30-Jul-15,Planning Committee,Refused
15/00565/B,10 Kionslieu Terrace Foxdale Isle Of Man IM4 3JR,Erection of a two storey extension to dwelling,29-Jun-15,Head of Development Management,Permitted
15/00566/B,Belmont Lheaney Road Ramsey Isle Of Man IM8 2JF,"Alterations and extension to dwelling, erection of detached garage and alterations to driveway and creation of new vehicular access",14-Jul-15,Director Delegation,Permitted
15/00567/B,Laxey Camp Site Quarry Road Laxey Isle Of Man IM4 7DU,Erection of extension to existing shower block facilities,29-Jun-15,Head of Development Management,Permitted
15/00568/B,1 Farrant Park Castletown Isle Of Man IM9 1NG,Alterations and extensions to dwelling and creation of pedestrian access,29-Jun-15,Head of Development Management,Permitted
15/00569/B,Castletown Civic Centre 1 Farrants Way Castletown Isle Of Man IM9 1NR,"Alterations and extensions and accommodation of re-located police station, Castletown Civic Centre/Farrants Way and three parking spaces within George Paddock car park, Castletown",24-Aug-15,Planning Committee,Permitted
15/00570/D,Capital House 16 - 18 Circular Road Douglas Isle Of Man IM1 1AG ,Installation of illuminated advertising signage to replace existing,30-Jun-15,Head of Development Management,Permitted
15/00571/C,28 Shore Road Peel Isle Of Man IM5 1NZ,Additional use of residential property as tourist accommodation,30-Jun-15,Head of Development Management,Permitted
15/00572/B,The Cedars 17 Odin's Way Ballakillowey Colby Isle Of Man IM9 4BQ,Erection of a first floor extension over existing detached garage,30-Jun-15,Head of Development Management,Permitted
15/00573/B,Land At Middle River Industrial Estate Douglas Isle Of Man  ,"Construction of covered spoil bays and concrete apron for the storage and handling of dry aggregates, stone, sand and quarry dust, including erection of replacement fencing and provision of flood lighting",03-Aug-15,Withdrawn,Application Withdrawn
15/00574/B,Land Between Greystones And Carnaween Battery Road Peel Isle Of Man  ,Erection of a detached dwelling and detached garage with ancillary living accommodation above,24-Jul-15,Director Delegation,Permitted
15/00575/B,Manning House Lord Street Douglas Isle Of Man IM1 2BE ,Conversion of existing office accommodation on upper floors to an apartment,02-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00576/B,3 Windsor Road Douglas Isle Of Man IM1 3JX,Installation of two external chiller motors in rear yard,23-Jul-15,Director Delegation,Permitted
15/00577/B,15 Hillcroft Douglas Isle Of Man IM2 7DS ,Replacement of existing polycarbonate conservatory roof with light weight roof tiles,30-Jun-15,Head of Development Management,Permitted
15/00578/B,1 Lhag Mooar Port Erin Isle Of Man IM9 6LY,Alterations and extension to dwelling and creation of new vehicular access,30-Jun-15,Head of Development Management,Permitted
15/00579/B,Part Field 614729 Baldrine Road Baldrine Isle Of Man  ,Erection of a dwelling with garage and parking,02-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00580/B,5 Old School View Eyreton Lea  Crosby Isle Of Man IM4 4DA ,Erection of a single storey extension to rear elevation,17-Jul-15,Director Delegation,Permitted
15/00581/B,Field 431992 Ballanank Farm Phildraw Road Ballasalla Isle Of Man IM9 3EH,Erection of an agricultural building,13-Oct-15,Withdrawn,Application Withdrawn
15/00582/B,Land Adjacent To Brackenthwaite Port Lewaigue Ramsey Isle Of Man  ,Erection of a dwelling with detached garage and associated landscaping (re-submission),10-Sep-15,Senior Planning Officer - South (SC),Permitted
15/00583/B,Field 130577 & Meadow Field St Judes Road Sulby Isle Of Man IM7 2ES,Erection of stables,02-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00584/B,Spyrryd Ny Marrey Old Laxey Hill Laxey Isle Of Man IM4 7BT ,Installation of steel flue on side elevation,03-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00585/B,3 Albany Close Peel Isle Of Man IM5 1JX,Installation of a replacement conservatory roof with light weight roof tiles,14-Jul-15,Head of Development Management,Permitted
15/00586/B,Arcadia Ballagyr Lane Peel Isle Of Man IM5 2AD,Erection of an extension to front elevation,14-Jul-15,Director Delegation,Permitted
15/00587/B,23 Factory Lane Peel Isle Of Man IM5 1NA,Installation of replacement windows to dwelling,14-Jul-15,Head of Development Management,Permitted
15/00588/D,Dandara Head Office  Vicarage Rise Isle Of Man Business Park Braddan Isle Of Man IM2 2SA ,Erection of illuminated signage to office building,14-Jul-15,Head of Development Management,Permitted
15/00589/B,Clough Willey Tosaby Road St Marks Ballasalla Isle Of Man  ,"15/00743Improvements to existing access lane including junction improvements, replacement gates and pillars and creation of bridge over stream",30-Jun-15,Head of Development Management,Permitted
15/00590/B,Barns Ballaragh Old Farmhouse Ballaragh Laxey Isle Of Man  ,Demolition of existing outbuilding and erection of a detached dwelling with integral garage,07-Oct-15,Planning Committee,Permitted
15/00591/B,Emscote Highfield Drive Baldrine Isle Of Man IM4 6EE,"Removal of existing decking to front elevation and replace with wall, steps and paving",15-Jul-15,Director Delegation,Permitted
15/00592/B,Boodeys Cottage Foxdale Road Garth Crosby Isle Of Man IM4 2HE,Erection of a detached garage to house motorhome and other vehicles,18-Aug-15,Senior Planning Officer - South (SC),Permitted
15/00593/B,2 Hillary Close Onchan Isle Of Man IM3 4BF,Creation of driveway and vehicular access,03-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00595/B,1 Bradda Court Bradda Road Port Erin Isle Of Man IM9 6PQ,Installation of glazing to enclose existing balcony,03-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00596/B,70 Derby Road Douglas Isle Of Man IM2 3EB,Installation of replacement front door and rear windows to dwelling,03-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00597/B,2 Stowell Place Castletown Isle Of Man IM9 1HF,Erection of a first floor extension,03-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00600/B,Naples Tromode Park Douglas Isle Of Man IM2 5LB,Alterations and extension to dwelling to provide ancillary living accommodation,21-Oct-15,Planning Committee,Permitted
15/00601/B,42 Albany Road Douglas Isle Of Man IM2 3NA,Installation of roof lights to front and rear elevations,03-Jul-15,Senior Planning Officer - South (SC),Permitted
15/00603/B,5 Cronk Avenue Onchan Isle Of Man IM3 3DG,"Conversion of existing garage to living accommodation erection of a first floor extension above, erection of a single storey extension to rear, replacement garage extension and widening of driveway and vehicular access",15-Jul-15,Director Delegation,Permitted
15/00604/B,Malvern 7 Third Avenue Douglas Isle Of Man IM2 6AL,Removal of two chimney stacks,15-Jul-15,Head of Development Management,Permitted
15/00605/B,68 Bucks Road Douglas Isle Of Man IM1 3AF ,Enclosure of existing porch area and installation of replacement shop front with bi-fold doors,07-Sep-15,Withdrawn,Deemed withdrawn 4(3) Dev Pro Order 2005
15/00606/B,The Warehouse Queen Street Castletown Isle Of Man IM9 1PB,Conversion of office into a residential accommodation,15-Jul-15,Director Delegation,Permitted
15/00607/B,Land To Rear Of 41 Selborne Drive Douglas Isle Of Man IM2 3NJ ,Demolition of existing garages and erection of a replacement garage with ancillary accommodation over,24-Jul-15,Director Delegation,Permitted
15/00608/B,The Centenary Centre Atholl Street Peel Isle Of Man IM5 1HQ ,Installation of a satellite dish to rear elevation,15-Jul-15,Director Delegation,Permitted
15/00609/B,Site Of Former Bus Garage  Salisbury Street Douglas Isle Of Man IM2 3HQ ,Erection of a detached plant/bin store building to serve approved Residential Care Home (PA 14/00876/B),15-Jul-15,Director Delegation,Permitted
15/00610/B,"Former The Clarendon, Farmers Retail & Douglas Hotel Site North Quay Douglas Isle Of Man  ",Creation of an outside seating area (retrospective),11-Dec-15,Director Delegation,Permitted
15/00611/D,Former Clarendon / Douglas Hotels Site North Quay Douglas Isle Of Man  ,"Installation of both illuminated and non-illuminated signage to premises, canopies and barriers (retrospective)",11-Dec-15,Director Delegation,Permitted
15/00612/B,Derbyhaven House Derbyhaven Isle Of Man IM9 1TS ,Demolition of existing boathouse and erection of extension to dwelling to provide ancillary living accommodation (comprising amendments to PA 14/01003/B),15-Jul-15,Director Delegation,Permitted
