"PA Ref","Proposal","Property Address","Decision","Decision Issued","Determining Body","Year"
"16/00238/C","Change of use from retail shop to a caf and take-away","Unit 1  Falcon Building Marina Road Douglas Isle Of Man IM1 2HE","Permitted","12-Apr-16","Interim Director 2016","2016"
"15/01310/B","Installation of replacement windows and rear door to dwelling","110 Malew Street Castletown Isle Of Man IM9 1LT","Permitted","07-Jan-16","Senior Planning Officer - North (CB)","2016"
"15/01311/B","Installation of a flue to dwelling","27 Larch Hill Grove Douglas Isle Of Man IM2 5NU ","Permitted","08-Jan-16","Senior Planning Officer - South (SC)","2016"
"15/01314/B"," Sub-division of existing Restaurant / Tavern to create two separate units complete with an outside seating area","1, 2 & 3 Clinch's Site North Quay Douglas Isle Of Man IM1 4LJ","Permitted","24-Feb-16","Senior Planning Officer - North (CB)","2016"
"16/00309/A","Approval in principle for two building plots and two field access gates addressing siting and means of access","Clypse Cottages Clypse Moar Onchan Isle Of Man IM4 5BG","Application Withdrawn","12-May-16","Withdrawn","2016"
"16/00311/B","Installation of replacement windows to dwelling","22 Stanley Road Peel Isle Of Man IM5 1NY","Permitted","23-Aug-16","Interim Director 2016","2016"
"16/00312/B","Alterations to lake (amendments to PA 14/01005/B)","The Meadows Port E Chee Tromode Douglas Isle Of Man IM2 1EE ","Permitted","18-May-16","Senior Planning Officer - South (SC)","2016"
"16/00373/B","Alterations and erection of extension to dwelling (amendments to PA 07/01536/B)","Garee Veg Glen Auldyn Ramsey Isle Of Man IM7 2AD ","Permitted","03-Jun-16","Senior Planning Officer - South (SC)","2016"
"16/00374/B","Replacement of existing glazed conservatory roof with tiles","107 Fairways Drive Mount Murray Douglas Isle Of Man IM4 2JL ","Permitted","25-May-16","Senior Planning Officer - South (SC)","2016"
"16/00576/A","Approval in principle for the erection of a four storey apartment block","21 - 22 West Quay Ramsey Isle Of Man  ","Permitted","24-Nov-16","Senior Planning Officer - South (SC)","2016"
"16/00578/B","Relocation of an existing field access","Field 425118 Glen Road Colby Isle Of Man  ","Permitted","04-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00579/B","Erection of six terraced three storey townhouse units for Student Nurses accommodation with central two storey link, access road and car parking (amendments to PA 16/00094/B)","Former Union Mills Football Club Playing Fields Ballamona Estate Braddan Road Strang Douglas Isle Of Man   Isle Of Man  ","Permitted","07-Jul-16","Interim Director 2016","2016"
"16/00580/B","Replacement of existing glazed conservatory roof with tile","5 Derby Drive Peel Isle Of Man IM5 1NT","Permitted","13-Jul-16","Senior Planning Officer - South (SC)","2016"
"16/00581/B","Replacement of existing glazed conservatory roof with tile","2 The Willows Ballacraine St Johns Isle Of Man IM4 3LS ","Permitted","25-Jul-16","Senior Planning Officer - North (CB)","2016"
"16/00582/GB","Alterations, renovation of front yard area, provision of flat roof over existing void and creation of a new access (in association with 16/00583/CON)","4 Finch Road Douglas Isle Of Man IM1 2PT","Permitted","15-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00583/CON","Registered Building consent for alterations, renovation of front yard area, provision of flat roof over existing void and creation of a new access (in association with 16/00582/GB) Registered Building Nos. 93","4 Finch Road Douglas Isle Of Man IM1 2PT","Permitted","15-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00584/B","Installation of replacement windows to front elevation","12 Church Lane Peel Isle Of Man IM5 1AW","Permitted","09-Aug-16","Planning Committee","2016"
"16/00585/B","Erection of a commercial polytunnel","Land At Field 314294 Staarvey Farm Staarvey Road Peel Isle Of Man  ","Permitted","07-Jul-16","Senior Planning Officer - North (CB)","2016"
"16/00090/B","Variation of condition 4 of PA 09/00884/B (erection of stables)  to allow the stables to be used independent from the house and for agricutural use","Rocklyn (Formerly Oakwell) Cottage Foxdale Road Eairy Isle Of Man IM4 2HG ","Permitted","03-Mar-16","Senior Planning Officer - North (CB)","2016"
"16/00093/B","Erection of a greenhouse, alterations to existing chimney stack and installation of replacement front door","Glebe House Maughold Isle Of Man IM7 1AS ","Permitted","03-Mar-16","Senior Planning Officer - North (CB)","2016"
"16/00167/B","Alterations, replacement of garage door with upvc door, relocation of flue and installation of two additional roof lights","15 Selborne Drive Douglas Isle Of Man IM2 3","Permitted","13-Apr-16","Senior Planning Officer - South (SC)","2016"
"16/00376/B","Alterations and erection of rear extension to dwelling","Thie Keylley 16 Keeill Pharick Glen Vine Isle Of Man IM4 4EW ","Permitted","26-May-16","Senior Planning Officer - North (CB)","2016"
"16/00377/B","Alterations and erection of first floor extension to rear elevation of dwelling","30A Market Street Peel Isle Of Man IM5 1AE","Permitted","25-Jul-16","Senior Planning Officer - North (CB)","2016"
"16/00378/B","Alterations, creation of additional windows and addition of mezzanine floor to industrial unit, along with change of use to storage and workshop","Unit 17 Balthane Industrial Estate Balthane Ballasalla Isle Of Man IM9 2AX ","Permitted","15-Jul-16","Senior Planning Officer - South (SC)","2016"
"16/00379/B","Re-construction of the highway and footpaths and creation of a low speed streetscape on and along Loch and Harris Promenades, and creation of an area to provide seating, sculpture, lighting, display screens, bike storage areas, bus shelter and landscaping","Douglas Promenade From Sea Terminal, Loch Promenade And Harris Promenade  Douglas Isle Of Man   ","Application Withdrawn","25-Jul-16","Withdrawn","2016"
"15/00213/B","Alterations, erection of extension and creation of new driveway to dwelling","Mylvoirrey Glen Road Ballaugh Isle Of Man IM7 5JD","Permitted","16-Feb-16","Planning Committee","2016"
"16/00587/B","Creation of a new vehicular access, driveway and turning area to replace existing","Beaconsfield Cottage Richmond Hill Douglas Isle Of Man IM4 1JG","Permitted","07-Jul-16","Senior Planning Officer - North (CB)","2016"
"16/00588/B","Removal of a chimney stack","4 & 5 Marathon Drive Douglas Isle Of Man IM2 4BP","Permitted","30-Jun-16","Senior Planning Officer - South (SC)","2016"
"16/00610/B","Alterations, erection of a rear extension, detached garage and creation of a vehicular access","7 Park Avenue Douglas Isle Of Man IM2 5HR","Permitted","11-Jul-16","Senior Planning Officer - South (SC)","2016"
"16/00611/CON","Registered Building consent for the installation of a platform lift between existing Stair Lobby and Theatre (Registered Building Nos. 185)","Kings Court Theatre King Williams College Castletown Isle Of Man IM9 1TP ","Permitted","15-Jul-16","Senior Planning Officer - South (SC)","2016"
"16/00612/B","Erection of a two storey extension","Gumtree Cottage (2 Osborne Cottages) Glen Road Laxey Isle Of Man IM4 7AJ ","Permitted","08-Jul-16","Senior Planning Officer - South (SC)","2016"
"16/00613/B","Installation of replacement windows to front elevation","152 Woodbourne Road Douglas Isle Of Man IM2 3BD","Refused","08-Jul-16","Senior Planning Officer - South (SC)","2016"
"16/00614/B","Variation of condition one of PA 11/00435/B, Erection of a 4 apartment block on vacant plot, with associated car parking and access, to extend period of permission","Plot 34 Castlemona Avenue Douglas Isle Of Man  ","Permitted","04-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00615/B","Alterations, erection of extension and creation of enlarged dormer window to dwelling (amendment to PA 15/00660/B)","56 Ballagarey Road Glen Vine Isle Of Man IM4 4EF","Permitted","19-Jul-16","Interim Director 2016","2016"
"16/00616/B","Erection of a two storey side extension and widening of existing driveway and vehicular access","64 Cronk Grianagh Estate Douglas Isle Of Man IM4 4RN","Permitted","19-Jul-16","Interim Director 2016","2016"
"16/01218/B","Extension to existing shed to provide storage and project preparation facilities.","Thie Rosien Castletown Road Port Erin Isle Of Man IM9 6BD ","Permitted","05-Dec-16","Senior Planning Officer - North (CB)","2016"
"16/01268/D","Introduction of signage","20A Duke Street Douglas Isle Of Man IM1 2BB ","Permitted","14-Dec-16","Senior Planning Officer - South (SC)","2016"
"16/00608/B","Alterations and creation of windows and doorways","Corrin Memorial Home Albany Road Peel Isle Of Man IM5 1HR","Permitted","26-Jul-16","Interim Director 2016","2016"
"16/00609/B","Alterations to rear yard to create a vehicular access and off road parking","Hillcliff Bay View Road Port St. Mary Isle Of Man IM9 5AP ","Permitted","23-Aug-16","Interim Director 2016","2016"
"16/00617/C","Temporary use of football pitches and facilities as a camp site with motorhome provision from the week prior to the TT Festival to the week after the IOM Festival of Motorcycling","Castletown Metropolitan Football Club Stadium Malew Road Castletown Isle Of Man IM9 4EA","Permitted","18-Oct-16","Planning Committee","2016"
"16/00689/B","Proposed Dormers (Amendment to PA15/01058/B)","Tillyloss West Baldwin Isle Of Man IM4 5HE ","Permitted","05-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00860/B","Creation of a rear dormer window","10 Howstrake Drive Onchan Isle Of Man IM3 1BR ","Permitted","07-Sep-16","Senior Planning Officer - North (CB)","2016"
"16/00861/B","Installation of replacement windows","Flat 1A Market Hill Ramsey Isle Of Man IM8 1JT ","Permitted","13-Oct-16","Senior Planning Officer - South (SC)","2016"
"16/00862/B","Erection of a conservatory","23 Bollan Drive Glen Vine Isle Of Man IM4 4FE","Permitted","07-Sep-16","Senior Planning Officer - North (CB)","2016"
"16/00863/B","Erection of a garage (amendment to PA 09/00937/B)","Close Chairn St Judes Road Sulby Isle Of Man IM7 2ES","Permitted","22-Sep-16","Senior Planning Officer - North (CB)","2016"
"16/00917/B","Re-roofing house in slate","Carla Beck 28 Devonshire Road Douglas Isle Of Man IM2 3RB","Permitted","02-Nov-16","Senior Planning Officer - South (SC)","2016"
"16/01002/B","Proposed office extension over garage and installation of new windows.","8 Taubman Terrace Douglas Isle Of Man IM1 5BB","Permitted","01-Dec-16","Senior Planning Officer - South (SC)","2016"
"16/01037/B","Erection of ground and first floor extension to dwelling.","Ballawyllin Farm Peel Road St Johns Isle Of Man IM4 3NE ","Permitted","07-Nov-16","Senior Planning Officer - North (CB)","2016"
"16/01080/B","Partial conversion of tourist accommodation to provide three tourist units","The Coach House Santon Motel Main Road Santon Isle Of Man IM4 1EJ","Permitted","27-Oct-16","Senior Planning Officer - North (CB)","2016"
"15/00835/B","Formation of a ramp to the main entrance of proposed Public Library for disabled and pram access","Pavement To Front Of  Former Top Shop Premises  Duke Street   Douglas Isle Of Man IM1 2AY ","Permitted","06-Jul-16","Planning Committee","2016"
"15/01125/B","Extension to existing car park (retrospective)","The Hawthorn  Main Road Greeba Isle Of Man IM4 3LF","Permitted","04-Jan-16","Planning Committee","2016"
"15/01126/B","Installation of a gas storage tank (retrospective)","The Hawthorn Main Road Greeba Isle Of Man IM4 3LF","Permitted","04-Jan-16","Planning Committee","2016"
"15/00167/B","Residential development of sixty six dwellings with associated infrastructure, children's play area, landscaping and public amenity space","Fields 134081, 134083, 134084 & Croftbank Land Off Clifton Drive Ramsey Isle Of Man  ","Permitted","18-Apr-16","Interim Director 2016","2016"
"15/01174/GB","Installation of external air conditioning units (in association with 15/01175/CON)","Laxey Workingmens Institute 17 New Road Laxey Isle Of Man IM4 7BD","Permitted","06-Jan-16","Director Delegation","2016"
"15/01175/CON","Registered Building consent for the installation of external air conditioning units (in association with 15/01174/GB) Registered Building Nos. 227","Laxey Workingmens Institute 17 New Road Laxey Isle Of Man IM4 7BD","Permitted","06-Jan-16","Director Delegation","2016"
"16/00119/B","Conversion of former Entertainment Suite to provide four apartments with storage area","Former Entertainment Suite Callows Yard Malew Street Castletown Isle Of Man IM9 1DQ ","Permitted","14-Mar-16","Planning Committee","2016"
"16/00121/B","Erection of extensions to dwelling to create additional living accommodation and gym (amendments to approved PA 15/00407/B)","60 Groudle Road Onchan Isle Of Man IM3 2EZ ","Permitted","17-Mar-16","Director Delegation","2016"
"16/00131/B","Erection of a detached triple garage with storage above","Ballavilley Dhoor Ramsey Isle Of Man IM7 4ED ","Refused","22-Jun-16","Planning Committee","2016"
"16/00134/B","Erection of an extension to side elevation of dwelling (amendment to PA 12/00696/B)","Suncot Aust Corner Andreas Road Aust Ramsey Isle Of Man IM7 4EQ","Permitted","09-Mar-16","Head of Development Management","2016"
"15/00427/B","Erection of a detached dwelling and improvements to existing vehicular access and parking","Land Adjacent To Thie Sollysh Smeale Road Andreas Isle Of Man  ","Permitted","25-Apr-16","Planning Committee","2016"
"15/00812/B","Demolition of two existing stone barns, erection of a multi-purpose building for entertainment and leisure activates and creation of an overflow car park","Ballakaighen Farm Whitebridge Road Onchan Isle Of Man IM4 6AD ","Permitted","02-Feb-16","Planning Committee","2016"
"16/00197/B","Conversion of basement, ground floor and part of first floor into a retail shop and isolation of second and third floor flats","18 Parliament Street Ramsey Isle Of Man IM8 1AP ","Permitted","24-Mar-16","Senior Planning Officer - South (SC)","2016"
"16/00298/B","Alterations and extensions to dwelling","Greenlands Barnell Lane Patrick  Isle Of Man IM5 3AN","Permitted","14-Apr-16","Senior Planning Officer - North (CB)","2016"
"16/00299/B","Alterations and extension to dwelling","Ballastewart Ballakilpheric Road Colby Isle Of Man IM9 4BY","Permitted","14-Apr-16","Interim Director 2016","2016"
"16/00301/B","Alterations and extensions to dwelling and erection of detached garage","9 Howe Road Onchan Isle Of Man IM3 2BB","Permitted","24-May-16","Senior Planning Officer - South (SC)","2016"
"16/00302/A","Approval in principle for erection of an agricultural worker's dwelling and erection of a cow shed, addressing means of access","Cooper's Land Fields 534352, 534355, 534356  Mountain Road Onchan Isle Of Man  ","Application Withdrawn","10-Nov-16","Planning Committee","2016"
"16/00328/B","Alterations, erection of an extension to replace conservatory and installation of two dormer windows to dwelling","Talisker 23 Pinehurst Avenue Douglas Isle Of Man IM2 1PQ","Permitted","19-May-16","Senior Planning Officer - South (SC)","2016"
"16/00329/B","Conversion and extension of three redundant barns to create a dwelling","Crossags Farm Crossags Lane Ramsey Isle Of Man IM8 2TB","Permitted","23-Jun-16","Planning Committee","2016"
"16/00331/B","Erection of a rear porch to dwelling","Woodlea Main Road Union Mills Isle Of Man IM4 4AG","Permitted","25-May-16","Senior Planning Officer - South (SC)","2016"
"16/00333/B","Installation of replacement windows to front elevation","10 Douglas Street Peel Isle Of Man IM5 1BA","Permitted","29-Jun-16","Senior Planning Officer - South (SC)","2016"
"16/00337/B","Conversion of existing workshop / store into a residential dwelling","Workshop / Store Glebe Farm Main Road Kirk Michael Isle Of Man  ","Refused","03-May-16","Senior Planning Officer - North (CB)","2016"
"15/01131/B","Alterations and erection of attached garage with living space above to approved renovation and extension of existing barn to form a dwelling","The Barn Ballig Farm West Baldwin Isle Of Man IM4 5EU ","Permitted","22-Jan-16","Senior Planning Officer - North (CB)","2016"
"15/01132/B","Alterations to existing patio deck area","Pier House Stanley Mount East Ramsey Isle Of Man IM8 1NP","Permitted","08-Feb-16","Director Delegation","2016"
"15/01135/B","Alterations, erection of extension and car port to dwelling and erection of boundary wall with pedestrian access","Broomfield Cottage Qualtroughs Lane Ballafesson Port Erin Isle Of Man IM9 6TP","Permitted","01-Mar-16","Planning Committee","2016"
"15/01183/B","Installation of replacement windows","Barnston Cottage Glen Road Laxey Isle Of Man IM4 7AJ","Permitted","26-Jan-16","Senior Planning Officer - South (SC)","2016"
"16/00432/B","Creation of a vehicular entrance, parking area and footpath","Kerrowmoar Farmhouse Kerrowmoar Sulby Isle Of Man IM7 2AX ","Permitted","15-Jul-16","Senior Planning Officer - South (SC)","2016"
"16/00451/B","Installation of render to dwelling","38 Majestic View Onchan Isle Of Man IM3 2JN ","Permitted","06-Jun-16","Senior Planning Officer - South (SC)","2016"
"16/00452/B","Alterations, creation of a pitched roof over part of garage and installation of a replacement garage door","1 Windermere Avenue Onchan Isle Of Man IM3 2DT","Permitted","06-Jun-16","Senior Planning Officer - South (SC)","2016"
"16/00518/B","Alterations and erection of extension with mezzanine floor and garage to dwelling","Ashley House Ashley Road Onchan Isle Of Man IM4 5BA","Permitted","07-Nov-16","Senior Planning Officer - North (CB)","2016"
"16/00695/B","Installation of 3 roller shutters and internal partition","Heron And Brearley Old Castletown Road Kewaigue Douglas Isle Of Man IM2 1QG","Permitted","06-Sep-16","Senior Planning Officer - North (CB)","2016"
"16/00696/B","Alterations and erection of extension to dwelling","1 Campion Way Douglas Isle Of Man IM2 7DT","Permitted","26-Jul-16","Interim Director 2016","2016"
"16/00775/B","Erection of forty one sheltered apartments, ancillary features, associated parking and police office provision","Willaston Police Station Site Snaefell Road Douglas Isle Of Man ","Permitted","01-Nov-16","Planning Committee","2016"
"16/00776/B","Demolition of existing dwelling and erection of two detached dwellings with integral garages and associated parking","Moorhead Hillberry Road Onchan Isle Of Man IM3 3BQ ","Application Withdrawn","14-Nov-16","Withdrawn","2016"
"16/00814/B","Erection of an extension to replace existing sun lounge","9 Scarlett Road Castletown Isle Of Man IM9 1NT","Permitted","20-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00142/B","Creation of driveway and vehicular access","Auburn House Andreas Village Isle Of Man IM7 4HH ","Permitted","05-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00306/B","Change of use from office accommodation to a single dwelling","Harbour Mews Off Parliament Square Castletown Isle Of Man  ","Permitted","03-Jun-16","Senior Planning Officer - South (SC)","2016"
"16/00307/B","Installation of two air conditioning condenser units on east elevation together with protective guard rails","16 - 20  Port Jack Onchan Isle Of Man IM2 2JJ ","Permitted","26-May-16","Senior Planning Officer - North (CB)","2016"
"16/00433/B","Installation of an additional window to barn conversion (amendment to approved PA 12/00922/B)","Glenmoar Farm Corlea Road Ballasalla Isle Of Man IM9 3BA","Permitted","25-Jul-16","Senior Planning Officer - North (CB)","2016"
"16/00434/B","Erection of an extension to replace existing conservatory to dwelling","Mount View Cottage St Marks Road Braaid Isle Of Man IM4 2AJ","Permitted","06-Jun-16","Senior Planning Officer - South (SC)","2016"
"16/00435/B","Erection of a single storey extension to dwelling","21 Ballastrooan Colby Isle Of Man IM9 4NR","Permitted","11-Jul-16","Senior Planning Officer - South (SC)","2016"
"16/00436/B","Alterations and erection of a two storey extension to existing out building to provide ancillary living accommodation and alterations to existing vehicular access","Glion Tramman Glen Tramman Ramsey Isle Of Man IM7 2AS ","Permitted","18-Jul-16","Planning Committee","2016"
"16/00511/B","Installation of a replacement bridge","Bridge At Glen Helen (Glen Helen Bridge 1) Glen Helen St. Johns Isle Of Man  ","Permitted","05-Aug-16","Department Application","2016"
"16/00512/C","Change of use of existing parking space to site a mobile food retail unit","Public Car Parking Space  Douglas Head Road Douglas Head Douglas Isle Of Man  ","Refused","20-Sep-16","Planning Committee","2016"
"16/00513/C","Change of use for the siting of a mobile catering unit","Land At Point Of Ayre Bride Isle Of Man  ","Application Withdrawn","15-Aug-16","Withdrawn","2016"
"16/00815/B","Extension of parking area and vehicular access and creation of a raised garden terrace","Rosemount Main Road Colby Isle Of Man IM9 4AE","Permitted","21-Sep-16","Senior Planning Officer - North (CB)","2016"
"16/00833/B","Erection of a replacement agricultural building","Agricultural Building Algare Farm East Baldwin Isle Of Man  ","Permitted","07-Sep-16","Senior Planning Officer - North (CB)","2016"
"16/00834/B","Installation of a replacement front door","11 Malvern Road Douglas Isle Of Man IM2 5AS","Permitted","20-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00835/B","Erection of a multi storey car park","19 - 20 St Georges Street Douglas Isle Of Man","Permitted","20-Sep-16","Planning Committee","2016"
"16/00710/B","Replacement of door and sidelights with new door and sidelight","91 Woodbourne Road Douglas Isle Of Man IM2 3AW ","Permitted","05-Aug-16","Senior Planning Officer - South (SC)","2016"
"16/00996/B","Replacement of 2 sash windows with 2 new veka blue PVCU vertical sash sliding windows. Alterations to frames in order to be used as fire escape.","Hawthorn Cottage 32 New Road Laxey Isle Of Man IM4 7BQ","Permitted","13-Oct-16","Senior Planning Officer - North (CB)","2016"
"16/01003/B","Removal of a chimney stack","Cronk Mullagh Brookfield Crescent Ramsey Isle Of Man IM8 2AQ","Permitted","29-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/01004/B","Construction of new steel framed building.","Battery Pier. Battery Pier Douglas Isle Of Man  ","Permitted","12-Dec-16","Senior Planning Officer - North (CB)","2016"
"16/01096/B","Replacement to rear annex.","30 Birch Hill Avenue Onchan Isle Of Man IM3 4ES","Permitted","01-Nov-16","Senior Planning Officer - South (SC)","2016"
"16/01119/B","Replacement of shop front with windows and door and change of use from commercial / retail unit to a residential flat","27B High Street Port St. Mary Isle Of Man IM9 5DP","Permitted","01-Dec-16","Senior Planning Officer - South (SC)","2016"
"16/00881/B","Erection of a front porch","2 Higher Main Road Foxdale Isle Of Man IM4 3EH","Permitted","13-Oct-16","Senior Planning Officer - North (CB)","2016"
"16/00884/B","Alterations and erection of extension","Stuggadhoo Cottage St Marks Road Braaid Isle Of Man IM4 2AJ","Permitted","07-Sep-16","Senior Planning Officer - North (CB)","2016"
"16/00885/D","Installation of non-illuminated signage","58 Strand Street Douglas Isle Of Man  ","Permitted","23-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00886/B","Erection of a replacement dwelling","Perk Cottage Knock Froy Road Santon Isle Of Man IM4 1JD","Refused","14-Dec-16","Planning Committee","2016"
"16/00928/B","Erection of a conservatory","Thie Corneil 8 Close Cubbon Peel Isle Of Man IM5 1NS","Permitted","02-Nov-16","Senior Planning Officer - North (CB)","2016"
"16/00929/B","Removal of chimney stack","6 Brunswick Road Douglas Isle Of Man IM2 3LQ","Permitted","29-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00988/B","Alterations and amalgamation of apartments","Apartment 1 & 2  Perwick Bay Apartments Perwick Road Port St. Mary Isle Of Man IM9 5PD","Permitted","13-Oct-16","Senior Planning Officer - North (CB)","2016"
"16/00989/B","Alterations and erection of extension to dwelling","8 Kerrocruin Kirk Michael Isle Of Man IM6 1AF","Permitted","13-Oct-16","Senior Planning Officer - North (CB)","2016"
"16/00990/C","Change of use from tourist to residential accommodation","103 Viking Apartments St Pauls Square Ramsey Isle Of Man IM8 1LE ","Permitted","29-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/00991/B","Alterations and installation of vents and a flue to dwelling","Larivane View Bride Road Andreas Isle Of Man IM7 4HL","Permitted","29-Sep-16","Senior Planning Officer - South (SC)","2016"
"16/01135/LAW","Application to make lawful the use as a self contained apartment.","Flat 1  Waterside 4 Windsor Mount Ramsey Isle Of Man IM8 3EA","Certificate of Lawfulness AGREED","06-Dec-16","Senior Planning Officer - North (CB)","2016"
"16/01222/B","Construction of a single storey building to provide introduction/chill room facilities for dogs (amendment to PA15/01185/B).","Ard Jerkyll East Foxdale Road Eairy Isle Of Man IM4 3HL ","Permitted","05-Dec-16","Senior Planning Officer - North (CB)","2016"
"16/01027/B","Replacement roof to rear annex.","93 Cronk Liauyr Douglas Isle Of Man IM2 5LR","Permitted","19-Oct-16","Senior Planning Officer - South (SC)","2016"
"16/01040/B","Replacement roof windows.","41 Selborne Drive Douglas Isle Of Man IM2 3NJ ","Permitted","09-Nov-16","Senior Planning Officer - South (SC)","2016"
"16/01042/B","Internal and external alterations to create windows and office space.","Global House Isle Of Man Business Park Douglas Isle Of Man IM2 2QZ","Permitted","08-Nov-16","Senior Planning Officer - North (CB)","2016"
"16/01045/B","Alterations and removal of hedges and creation of a track.","Ballagawne Farm Ballagawne Road Ballabeg Castletown Isle Of Man IM9 4PD","Permitted","02-Nov-16","Senior Planning Officer - South (SC)","2016"
"16/01073/B","Erection of a garden shed.","Shed Coronation Community Garden Mount Rule Road Strang Douglas Isle Of Man  ","Permitted","08-Nov-16","Senior Planning Officer - North (CB)","2016"
"16/01086/B","Creation of new track between field numbers 430648 and 430647.","Field 430648 Braaid Road St Marks Ballasalla Isle Of Man  ","Permitted","01-Nov-16","Senior Planning Officer - South (SC)","2016"
"16/01089/B","Replacement of existing rear annex with two storey extension.","Ash House Main Road Kirk Michael Isle Of Man IM6 1ED","Refused","25-Nov-16","Senior Planning Officer - South (SC)","2016"
"15/00775/A","Approval in principle for the construction of 28 dwellings and provision of retail space addressing siting and means of access","Fields 320653 & 324324 Part Of Ballaglonney Farm Crosby Isle Of Man  ","Permitted","08-Feb-16","Director Delegation","2016"
"15/01312/B","Erection of a single storey rear extension and side porch extension","40 Ballabrooie Way Douglas Isle Of Man IM1 4ES","Permitted","08-Feb-16","Senior Planning Officer - South (SC)","2016"
"15/01313/B","Erection of a cycle shelter within rear car park","Barclays House Victoria Street Douglas Isle Of Man IM1 2LE","Permitted","08-Feb-16","Director Delegation","2016"
"15/01391/B","Alterations, demolition of existing side wings and erection of replacement single storey side extensions to dwelling","Kempis Orrisdale Road Ballasalla Isle Of Man IM9 3AE","Permitted","27-Jan-16","Director Delegation","2016"
"15/01182/B","Installation of replacement windows and door to dwelling","Barnston House Glen Road Laxey Isle Of Man IM4 7AJ","Permitted","26-Jan-16","Senior Planning Officer - South (SC)","2016"
"15/01295/B","Installation of replacement windows to front ground floor bay window","9 Selborne Road Douglas Isle Of Man IM1 4BT","Permitted","15-Jan-16","Head of Development Management","2016"
"15/01392/A","Approval in principle for four detached dwellings with associated parking addressing siting and means of access","Land Adjacent To Brookfield Court Claughbane Drive Ramsey Isle Of Man  ","Refused","03-Mar-16","Planning Committee","2016"
"16/00040/B","Alterations to building including replacement roof tiles, removal of existing roof dormers and formation of new dormer, removal of existing cornice, string course, pediment and column features and form new parapet above eaves level, erection of two entran","Murray House 5 - 11 Mount Havelock Douglas Isle Of Man IM1 2QF","Permitted","02-Mar-16","Planning Committee","2016"
"16/00165/D","Erection of non-illuminated signage","Castle View Nursing Home Ballatessan Meadow Peel Isle Of Man IM5 1DX ","Permitted","17-Mar-16","Director Delegation","2016"
"15/00828/B","Alterations and erection of ground and first floor extensions to dwelling","1 Forestry House Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN","Permitted","24-Mar-16","Senior Planning Officer - South (SC)","2016"
"15/00829/B","Alterations and erection of ground and first floor extensions to dwelling","2 Forestry House Glen Helen Road Laurel Bank St Johns Isle Of Man IM4 3NN","Permitted","24-Mar-16","Senior Planning Officer - South (SC)","2016"
"16/00408/B","Alterations to building fabric and window / door arrangement of rear attached outbuilding to provide additional living accommodation","17 Westminster Terrace Douglas Isle Of Man IM1 4EE","Permitted","25-May-16","Senior Planning Officer - South (SC)","2016"
"16/00409/B","Installation of an additional dormer window to dwelling","4 Factory Lane Peel Isle Of Man IM5 1HF ","Permitted","28-Jul-16","Interim Director 2016","2016"
"16/00410/B","Demolition of existing garages and erection of a detached building to provide garage, utility and storage with ancillary living accommodation above","Ballaoates Cottages East Baldwin Isle Of Man IM4 5EN ","Application Withdrawn","21-Nov-16","Withdrawn","2016"
"16/00411/C","Change of use of first floor dental practice to residential accommodation","The Dental Surgery 4 Hailwood Court Douglas Isle Of Man IM2 7EA ","Permitted","06-Jun-16","Senior Planning Officer - South (SC)","2016"
"16/00677/B","Replacement of existing glazed conservatory roof with roof tiles","16 Manor Drive Douglas Isle Of Man IM2 2PA","Permitted","26-Jul-16","Interim Director 2016","2016"
"16/00984/B","Replacement of existing glazed conservatory roof with tiles","10 Ballaquane Park Peel Isle Of Man IM5 1PT","Permitted","13-Oct-16","Senior Planning Officer - North (CB)","2016"
"16/00986/B","Erection of a dwelling (amendments to PA 15/01124/B)","Plot 2 Land At The Lancashire House & Furness Cottage New Castletown Road Santon Isle Of Man  ","Permitted","13-Oct-16","Senior Planning Officer - North (CB)","2016"
"16/01009/A","Approval in principle for the erection of four detached dwellings with associated parking addressing siting and means of access","Glebe Farm Main Road Kirk Michael Isle Of Man  ","Application Withdrawn","06-Oct-16","Withdrawn","2016"
"16/01065/C","Change of use from retail unit to men's barber shop.","2 - 4 Marina Road Douglas Isle Of Man IM1 2HE","Application Withdrawn","30-Nov-16","Withdrawn","2016"
"15/01044/B","Alterations and installation of two roof lights and a dormer window to dwelling","24 Albany Street Douglas Isle Of Man IM2 3LE","Permitted","16-Feb-16","Director Delegation","2016"
"16/00057/C","Additional use of residential dwelling as tourist accommodation","3 Station Road Kirk Michael Isle Of Man IM6 1EZ","Permitted","26-Feb-16","Director Delegation","2016"
"16/00060/C","Additional use of residential dwelling as tourist accommodation","Beachcomber's Cottage Marina Lane Port Erin Isle Of Man IM9 6LB","Permitted","26-Feb-16","Director Delegation","2016"
