"PA Ref","Details","Local Authority","Date","Pub Date","URL"
"23/00988/B","Installation of service reservoir and connecting pump station with associated access, boundary fencing and landscaping Land West Of Jurby Medical Centre (Former Jurby Camp) Jurby Industrial Estate Jurby Isle Of Man IM7 3BZ ","JURBY","6 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00988/B"
"23/00990/B","Rebuild existing stone wall in new location to allow visibility splay approved in PA20/01246/B Land Between Glas Choille And Winston Glen Auldyn Road Ramsey Isle Of Man  ","LEZAYRE","5 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00990/B"
"23/01006/B","New House (amendments to PA20/01246/B) Land Between Glas Choille & Winston  Glen Auldyn Lezayre Isle Of Man  ","LEZAYRE","5 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01006/B"
"23/01022/B","Enlargement of horse riding arena and change of use of fields 435361 and 435344 from agricultural to equestrian. Corlea Farm Corlea Road Ballasalla Isle Of Man IM9 3BA ","MALEW","4 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01022/B"
"23/00968/B","Removal of chimney stack, to be replaced by matching roof tiles 16 Ballagorry Drive Glen Mona Ramsey Isle Of Man IM7 1HE","MAUGHOLD","1 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00968/B"
"23/01009/B","Replace existing windows with sliding doors to ground floor unit Ocean Views  Onchan Park Onchan IM3 1HU ","ONCHAN","5 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01009/B"
"23/01037/D","Fabric retractable canopy extending from existing parks building including signwriting ""OCEAN BAR"" Ocean Views Onchan Park Onchan Isle Of Man IM3 1HU ","ONCHAN","6 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01037/D"
"22/00361/B","Proposed demolition of existing public house and erection of six dwellings and one commercial building to the site with associated parking and amenity space Waterfall Hotel Shore Road Glen Maye Isle Of Man IM5 3BG","PATRICK","11 Apr 2022","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/00361/B"
"23/01017/C","Proposed change of use from garden room & store to living accommodation - with additional use for tourist lets Kerrowdhoo Farmhouse Gleneedle Lower Foxdale Isle Of Man IM4 3BG ","PATRICK","1 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01017/C"
"23/01015/CON","Registered buiding consent for internal alterations to various elements including the tiled floor, raised platform, lobby, kitchen and toilets (forming amendments to consent granted under 18/00530/CON) - RB 204 Cathedral Isle Of Man (formerly St Germans Cathedral) Derby Road Peel Isle Of Man IM5 1HH ","PEEL","4 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01015/CON"
"23/00913/B","Erection of a single storey extension to the rear elevation Galean Athol Street Port St Mary Isle Of Man IM9 5DS ","PORT ST MARY","4 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00913/B"
"23/00946/B","Removal of part of rear boundary wall to create access and additional vehicular parking Eskdale 12 Bowring Road Ramsey Isle Of Man IM8 3EN","RAMSEY","5 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00946/B"
"23/01030/B","Installation of twin wall flue 23 St Pauls Mews Ramsey Isle Of Man IM8 1EE","RAMSEY","6 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01030/B"
"23/01032/C","Change of use from garages and workshop to warehousing and storage (retrospective) Garages And Workshop Shipyard Road Ramsey Isle Of Man IM8 3DW ","RAMSEY","4 Sep 2023","2023-09-08","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01032/C"
"23/00280/B","Re-site village play park to area currently known as Millennium Garden Andreas Village Millennium Garden Andreas Village Isle Of Man IM7 4EZ ","ANDREAS","13 Mar 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00280/B"
"23/00967/B","Erection of detached summer house/office to the rear garden 29 Ballalough Estate Andreas Isle Of Man IM7 4HU","ANDREAS","24 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00967/B"
"23/01019/B","Erection of front porch 17 Glebe Aalin Ballaugh Isle Of Man IM7 5BW","BALLAUGH","25 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01019/B"
"23/00725/B","Conversion of existing out-building (former dairy barn) to provide habitable accommodation for residential/tourist use The Barn Ballavarteen West Grenaby Road Dogmills Ramsey Isle Of Man  ","BRIDE","4 Jul 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00725/B"
"23/00950/CON","Registered building consent for internal and external alterations and renovation works, including erection of replacement rear extension & formation of doorway between Harbour House & The Granary - RB 47 & RB 48 (in association with application 23/00947/GB) Harbour House & The Granary The Quay Castletown Isle Of Man IM9 1LD","CASTLETOWN","24 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00950/CON"
"23/00291/B","The development proposes the construction of 133 new dwellings split across apartments, townhouses, small blocks of flats and a senior living block. In addition, a new scout hut/community pavilion, refurbishment and extension of Crookall House as office space, replacement existing sub-station and associated external landscaping, highways and drainage works. Crookall House (+ Surrounding Site) Demesne Road Douglas Isle Of Man IM1 3DX","DOUGLAS","26 Apr 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00291/B"
"23/00464/B","Subdivision of existing single flat to 2 no. flats including erection of rear access staircase and replacement rear extension. Installation of replacement windows and resiting of shopfront door 8 Prospect Terrace Woodbourne Road Douglas Isle Of Man IM1 3AL ","DOUGLAS","19 Apr 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00464/B"
"23/00942/B","Construction of four detached houses and associated infrastructure Land South Of Leyton Former Air Raid Shelter Site  Victoria Road Douglas Isle Of Man IM2 6AQ ","DOUGLAS","29 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00942/B"
"23/00945/B","Alteration of existing entrance canopy to create sloped roof with glazed infill creating porch 50 & 52 Berry Woods Avenue  Douglas IM2 7DB","DOUGLAS","29 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00945/B"
"23/00983/B","Enclosure of external yard area to form covered utility space 50A Allan Street Douglas Isle Of Man IM1 3DN ","DOUGLAS","25 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00983/B"
"23/01027/B","Installation of replacement windows (part retrospective) Nuno\'s Fitness Centre Kingswood Grove Douglas Isle Of Man IM1 3LY ","DOUGLAS","29 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01027/B"
"23/01028/B","Installation of twenty replacement PVC casement style windows 45 Victoria Street Douglas Isle Of Man IM1 2LD ","DOUGLAS","29 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01028/B"
"23/00818/REM","Reserved Matters application to PA 22/00669/A for the erection of two residential dwellings addressing siting, landscaping, drainage, means of access, internal layout and external appearance Balla Bluff Pinfold Hill Laxey Isle Of Man IM4 7HL","GARFF","12 Jul 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00818/REM"
"23/00889/B","Construction of a boundary wall along the roadside frontage of Hawthorn Cottage Hawthorn Cottage Maughold Isle Of Man IM7 1AS ","GARFF","26 Jul 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00889/B"
"23/00876/B","Construction of general industrial and storage units to units 3 to 8 and Approval in Principle for units 1, 2 and 9 to 19 for general industrial and storage use Land At The Paddocks Jurby Industrial Estate Jurby Isle Of Man  ","JURBY","30 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00876/B"
"23/00939/B","Conversion and erection of extension to two existing barns to provide self-catering tourist accommodation with creation of additional parking and landscaping Upper Kerrowmoar Kerrowkeil Road Grenaby Ballasalla Isle Of Man IM9 3BB","MALEW","30 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00939/B"
"23/00910/B","Construction of new engine house plant room, installation of hardstanding and external plant equipment, and upgrading of site services within grounds Bishopscourt Bishopscourt Kirk Michael Isle Of Man IM6 2EZ ","MICHAEL","29 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00910/B"
"23/00958/B","Conversion of existing guest house and apartment to eight apartments with alterations and extensions and new vehicular access Erin House Athol Park Port Erin Isle Of Man IM9 6EX","PORT ERIN","24 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00958/B"
"23/00986/B","Replace the existing balcony guard rails to the first and second floors of the Station Road elevation to the above apartment complex. Balconies to be changed from timber guardrail to glass with stainless steel handrail Cherry Orchard Apartments Bridson Street Port Erin Isle Of Man IM9 6AN ","PORT ERIN","29 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00986/B"
"23/01034/B","Change of use of the former garage to a 1000L commercial micro-brewery and taproom/events space for licensed events (amendment to PA 23/00521/C) Kerroo Brewing Company Droghadfayle Road Port Erin Isle Of Man IM9 6EE ","PORT ERIN","30 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01034/B"
"23/00066/B","Change of use from public house (use class 1.3) to create ten apartments (use class 3.4) while retaining original element of building, demolition of previous extensions and erection of new replacement extension. Britannia Hotel Waterloo Road Ramsey Isle Of Man IM8 1DR","RAMSEY","30 Jan 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00066/B"
"23/00067/CON","Demolition of previous extensions and erection of new replacement extension In association with application PA 23/00066/B Britannia Hotel Waterloo Road Ramsey Isle Of Man IM8 1DR","RAMSEY","30 Jan 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00067/CON"
"23/00795/B","Rendering to the south west facing wall including porches Apartments 6 And 8 Elfin Court  Vernon Road Ramsey Isle Of Man IM8 2HB","RAMSEY","29 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00795/B"
"23/00955/C","Additional use of residential apartment as tourist accommodation Flat 16 Antrim Hotel Mooragh Promenade Ramsey Isle Of Man IM8 3AQ","RAMSEY","24 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00955/C"
"23/00992/B","Replacement two storey extension to rear elevation and single storey extension adjacent 22 Waterloo Road Ramsey Isle Of Man IM8 1DU","RAMSEY","29 Aug 2023","2023-09-01","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00992/B"
"23/00919/B","Repositioning of drive and entrance to property. Hillview Kiondroghad Road Andreas Isle Of Man IM7 3EL ","ANDREAS","23 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00919/B"
"23/00752/B","Installation of stainless steel twin wall flue (retrospective) 24 Glebe Aalin Ballaugh Isle Of Man IM7 5BX","BALLAUGH","19 Jul 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00752/B"
"23/00943/C","Additional use of general industrial units for garaging and storage of vehicles and small plant and general business storage (Class 2.4) Units 2 & 3  Braddan Bridge Industrial Estate Peel Road Braddan IM4 4LE ","BRADDAN","21 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00943/C"
"23/00949/B","Installation of black coloured twin wall flue to serve multi-fuel appliance 6 Clybane Rise Douglas Isle Of Man IM2 2LR","BRADDAN","23 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00949/B"
"23/00987/B","Proposed alterations and extensions, including rear dormer and balcony Driftwood Dogmills Ramsey Isle Of Man IM7 4AD ","BRIDE","23 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00987/B"
"23/00931/B","A single-storey rear extension with external spiral stairs leading to roof terraces, plus a cantilevered balcony to the rear 5 Victoria Road Castletown Isle Of Man IM9 1EP","CASTLETOWN","18 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00931/B"
"23/00957/CON","Registered Building consent for demolition elements to PA 23/00931/B 5 Victoria Road Castletown Isle Of Man IM9 1EP","CASTLETOWN","18 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00957/CON"
"23/00952/B","Proposed new light industrial, storage, or distribution unit Units 46-51 Block L White Hoe Industrial Estate Old Castletown Road Douglas Isle Of Man IM2 1QD ","DOUGLAS","17 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00952/B"
"23/00960/CON","Registered building consent for refurbishment of basement toilets RB 200. Gaiety Theatre Harris Promenade Douglas Isle Of Man IM1 2HH","DOUGLAS","21 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00960/CON"
"23/00969/B","Installation of replacement porch Seaview Fairy Cottage Laxey Isle Of Man IM4 7HR ","GARFF","22 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00969/B"
"23/01005/B","uPVC porch to front elevation of property to replace current over door porch Kurisutojuri 12 Cronk Cardle Corony Ramsey Isle Of Man IM7 1ET ","GARFF","23 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01005/B"
"23/00954/B","Retrospective approval for erection of stable and agricultural building Ballachurry Beg Summerhill Road Jurby Isle Of Man IM7 3BS ","JURBY","17 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00954/B"
"23/00956/B","Alterations to barn (Retrospective) and Additional use of first floor of barn as tourist accommodation in addition to permitted use as ancillary accommodation Ballachurry Beg Summerhill Road Jurby Isle Of Man IM7 3BS ","JURBY","18 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00956/B"
"23/00951/D","Replacement of two illuminated advertising display boards with an illuminated digital LED advertising display The Private Jet Centre Airport Exit Road Isle Of Man Airport Ballasalla Isle Of Man IM9 2RJ ","MALEW","21 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00951/D"
"23/00995/B","Installation of a flue 11 Bollan Way Glen Vine Isle Of Man IM4 4FD","MAROWN","21 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00995/B"
"23/00953/B","Removal of a chimney stack San Feliu 81 King Edward Road Onchan Isle Of Man IM3 2AS","ONCHAN","22 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00953/B"
"23/00933/B","Replace dormer windows with double glazed uPVC to improve thermal efficiency. 36 Castle Street Peel Isle Of Man IM5 1AL","PEEL","21 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00933/B"
"23/00961/B","Removal of Chimney Stack Aldrick 26 Mountain View Peel Isle Of Man IM5 1QE","PEEL","23 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00961/B"
"23/00970/B","Installation of front and rear windows and doors 13 Factory Lane Peel Isle Of Man IM5 1NA","PEEL","23 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00970/B"
"23/00985/B","Erection of two semi-detached dwellings Plot Of Land / Site Adjacent To  56 Glenfaba Road Peel Isle Of Man  ","PEEL","23 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00985/B"
"23/01004/B","Installation of replacement rear porch roof (retrospective) Nelson House 6 Crown Street Peel Isle Of Man IM5 1AJ ","PEEL","23 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/01004/B"
"23/00539/B","Erection of a single detached dwelling with associated car parking Land At Ballahane House Erin Rise Port Erin Isle Of Man IM9 6FF ","PORT ERIN","11 May 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00539/B"
"23/00923/B","Convert existing yard fence and gate to three inward-opening gates to allow for off-road parking (retrospective) 60 Waterloo Road Ramsey Isle Of Man IM8 1EG","RAMSEY","23 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00923/B"
"23/00948/B","Installation of a twin wall flue 34 Gibbs Grove Grove Park Ramsey Isle Of Man IM8 3LE ","RAMSEY","23 Aug 2023","2023-08-25","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00948/B"
"23/00784/B","Construction of proposed detached garage 19 - 20 Ballastrooan Colby Isle Of Man IM9 4NR","ARBORY","12 Jul 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00784/B"
"23/00941/D","Installation of illuminated signage above wind lobby and entrance canopy The Salvation Army Douglas Corps  Ballacottier Crescent Braddan IM2 2QZ  ","BRADDAN","16 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00941/D"
"23/00944/B","Erection of a 6m high flagpole The Salvation Army Douglas Corps  Ballacottier Crescent Isle Of Man Business Park Braddan IM2 2QZ ","BRADDAN","16 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00944/B"
"23/00766/B","Erection of single storey extension to rear of dwelling forming sun lounge Confederate Cottage Cranstal Bride Isle Of Man IM7 4BR ","BRIDE","27 Jun 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00766/B"
"22/00865/B","Erection of 9 light industrial units with associated road infrastructure, parking and amendment to site levels and ground infill Millmount Complex  New Castletown Road Douglas Isle Of Man IM2 1HD","DOUGLAS","15 Aug 2022","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=22/00865/B"
"23/00526/B","Demolition of former nursing home and outbuildings, and the creation of five new 4 bedroom dwellings with associated garages, parking, amended access, amended drainage, and landscaping Former Eastfield Mansion House  Eastfield Douglas IM1 4AU ","DOUGLAS","10 May 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00526/B"
"23/00869/B","Conversion from 2 apartments into a single apartment including the installation of two dormers Apartment 8/9 Sefton Suites 3 Harris Promenade Douglas Isle Of Man IM1 2HH ","DOUGLAS","15 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00869/B"
"23/00898/B","Conversion of garage & store into a 2 bedroom dwelling with an additional storey added to the existing building 25A Market Street Douglas Isle Of Man IM1 2PA ","DOUGLAS","11 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00898/B"
"23/00922/B","Installation of replacement front door and associated glazing 5 Selborne Road Douglas Isle Of Man IM1 4BT","DOUGLAS","14 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00922/B"
"23/00940/B","Removal of structurally damaged chimney stack, and make good roof to match existing tiles 10 High View Road Douglas Isle Of Man IM2 5BQ","DOUGLAS","16 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00940/B"
"23/00883/B","Removal of dormer extension and replace with first floor extension to the existing property line Woodside Cottage Breeze Hill Laxey Isle Of Man IM4 7DL","GARFF","16 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00883/B"
"23/00932/B","Creation of new parking area, installation of new footbridge, and installation of new foot path Part Field 615019 Land Adjacent To  The Salmon Lake Center Mines Road Laxey  ","GARFF","16 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00932/B"
"23/00934/B","First floor extension to single storey cottage and replacement extension to rear elevation Linwood Cottage Ballabeg Laxey Isle Of Man IM4 7HB ","GARFF","16 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00934/B"
"23/00936/B","Erection of garden store Cornaa House Ballaglass Glen Road Cornaa Ramsey Isle Of Man IM7 1EJ","GARFF","16 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00936/B"
"23/00966/B","Removal of existing garage and erection of extension together with a garden shed Slieu Ruy Highfield Drive Baldrine Isle Of Man IM4 6EE","GARFF","15 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00966/B"
"23/00920/B","Extension to the kitchen and replacing the flat roof with a pitched roof The Cottage Glen Auldyn Ramsey Isle Of Man IM7 2AE ","LEZAYRE","15 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00920/B"
"23/00925/B","Demolish portion of existing garage and construct single storey extension on East gable wall of existing dwelling Ballastowell Glenlough Circle Glen Vine Isle Of Man IM4 4AX","MAROWN","14 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00925/B"
"23/00840/CON","Registered building consent for blocking up an opening, reinstating a historic opening, and creation of new opening (RB 136) The Court House Main Road Kirk Michael Isle Of Man IM6 1AJ ","MICHAEL","16 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00840/CON"
"23/00863/B","Retrospective application for demolition of existing structure to rear of property and construction of new extension 33 Birch Hill Avenue Onchan Isle Of Man IM3 4ES","ONCHAN","11 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00863/B"
"23/00866/B","Extension to the rear elevation. Elm Cottage Station Road St Johns Isle Of Man IM4 3AN ","PATRICK","2 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00866/B"
"23/00887/CON","Registered Building Consent for refurbishment works to property including removal of existing internal render/plaster, applying new internal lime plaster, remedial works to ground floor and installation of extractor fans to kitchen and bathroom - RB 108 5 Charles Street Peel Isle Of Man IM5 1AF","PEEL","15 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00887/CON"
"23/00929/C","Proposed additional use of residential dwelling as tourist accommodation 32 Bridge Street Peel Isle Of Man IM5 1NQ","PEEL","14 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00929/C"
"23/00921/B","To increase the height of the flue of the woodburning flue from 1m to 2.3m, due to HETAS requirements. 3 Ballamaddrell Port Erin Isle Of Man IM9 6AS","PORT ERIN","11 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00921/B"
"23/00917/B","Demolition & re-building of garage Rocklands Bay View Road Port St Mary Isle Of Man IM9 5AQ ","PORT ST MARY","15 Aug 2023","2023-08-18","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00917/B"
"23/00884/C","Change of use of land from agricultural to residential gardens (retrospective) 1, 2, 3 & 4 Georges Close Andreas Isle Of Man IM7 4HZ ","ANDREAS","8 Aug 2023","2023-08-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00884/C"
"23/00849/B","Alterations including re-roofing of asbestos tiles with new slate tiles and the removal of chimney and two roof lights Thie Carr Main Road Ballaugh Isle Of Man IM7 5EG","BALLAUGH","7 Aug 2023","2023-08-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00849/B"
"23/00905/B","Erection of a replacement shed The Grange Station Road Ballaugh Isle Of Man IM7 5AH ","BALLAUGH","4 Aug 2023","2023-08-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00905/B"
"23/00935/B","Variation of condition 1 for 94/00914/B to the proposed building must be used as accommodation ancillary to the Grange and must not be occupied as a dwelling in its own right and physical alterations which include re-slating of roof, replacing windows, creation of a patio, recladding of building, replacement of door, demolition of porch and installation of two flues. The Grange Station Road Ballaugh Isle Of Man IM7 5AH ","BALLAUGH","9 Aug 2023","2023-08-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00935/B"
"23/00868/B","Use of part of Unit 48a as sales/retail; use of part of Unit 48e as staff facilities; new first floor offices with Unit 48e. Installation of 12 new windows on north east elevation; installation of rain screen canopy over main customer entrance in Unit 48b; changing of colour of existing windows and pedestrian doors Unit 48A,48B,48C,48D & 48E  Spring Valley Industrial Estate Cooil Road Braddan IM2 2QS ","BRADDAN","3 Aug 2023","2023-08-11","https://services.gov.im/planningapplication/services/planning/planningapplicationdetails.iom?ApplicationReferenceNumber=23/00868/B"
