"Name","Town"
"Grenaby Farm","Malew"
"Grenaby Road","Arbory"
"Grenaby Road","Ballabeg"
"Grenaby Road","Ballasalla"
"Grenaby Road","Bride"
"Grenaby Road","Dogmills"
"Grenaby Road","Ramsey"
"Grenea Terrace","Rushen"
"Gretch Veg Estate","Laxey"
"Greyfriars Close","Ballabeg"
"Grosvenor Road","Douglas"
"Groudle","Onchan"
"Groudle Glen","Lonan"
"Groudle Road","Onchan"
"Groudle View","Onchan"
"Grove Mount","Ramsey"
"Grove Mount West","Ramsey"
"Groves Lane","Douglas"
"Groves Road","Douglas"
"Hague Drive","Onchan"
"Hague Walk","Onchan"
"Hailwood Avenue","Douglas"
"Hailwood Court","Douglas"
"Hamilton Bridge","Lower Foxdale"
"Hamilton Close","Foxdale"
"Hamilton Close","Patrick"
"Hamilton Terrace","Foxdale"
"Hamilton Terrace","Lower Foxdale"
"Hamilton Terrace","Patrick"
"Hampton Court","Douglas"
"Hampton Farm","Douglas"
"Hampton Grove","Douglas"
"Hampton House","Ramsey"
"Hampton Villas","Douglas"
"Handley's Corner","Kirk Michael"
"Handleys Corner","Kirk Michael"
"Hango Hill","Castletown"
"Hanley Terrace","Ramsey"
"Hanley Villas","Ramsey"
"Harbour Road","Onchan"
"Harbour Road","Santon"
"Harbour View","Onchan"
"Harbourside Cottages","Laxey"
"Harcourt Drive","Malew"
"Harcroft Avenue","Douglas"
"Harcroft Meadow","Douglas"
"Harcroft Meadows","Douglas"
"Harcroft Road","Douglas"
"Harcroft Terrace","Douglas"
"Harris Promenade","Douglas"
"Harris Terrace","Douglas"
"Harwarden Avenue","Douglas"
"Harwood Court","Ramsey"
"Hatfield Grove","Douglas"
"Hatters Lane","Port St Mary"
"Haven Court","Derbyhaven"
"Hawarden Avenue","Douglas"
"Hawthorn Close","Onchan"
"Hawthorn Drive","Peel"
"Hawthorn Villas","Braddan"
"Hawthorne Grove","Ballasalla"
"Hazel Close","Onchan"
"Head Road","Douglas"
"Heather Lane","Douglas"
"Heathfield Drive","Peel"
"Hedgerow Close","Douglas"
"Henniker Avenue","Ramsey"
"Hespera Terrace","Ramsey"
"Heywood Close","Onchan"
"Heywood Drive","Onchan"
"Heywood Way","Onchan"
"Hibernia","Maughold"
"Hibernia","Ramsey"
"Hibernian","Maughold"
"Hibernian Road","Maughold"
"High Road","Ballasalla"
"High Road","Malew"
"High Road","Port Erin"
"High Street","Andreas"
"High Street","Port St Mary"
"High View Road","Douglas"
"Highcroft Avenue","Douglas"
"Higher Foxdale","Foxdale"
"Higher Foxdale","Malew"
"Higher Foxdale","Patrick"
"Higher Main Road","Foxdale"
"Higher Main Road","Patrick"
"Highfield","Glen Vine"
"Highfield Close","Onchan"
"Highfield Crescent","Onchan"
"Highfield Drive","Baldrine"
"Highfield Drive","Lonan"
"Hightonwood Hill","Douglas"
"Hilary Park","Douglas"
"Hilary Road","Douglas"
"Hildesley Road","Douglas"
"Hill Park","Colby"
"Hill Street","Douglas"
"Hill Street Lane And St George's Walk","Douglas"
"Hill Top View","Douglas"
"Hill View","Ballaugh"
"Hillary Close","Onchan"
"Hillary Wharf","Douglas"
"Hillberry Close","Douglas"
"Hillberry Corner","Onchan"
"Hillberry Green","Douglas"
"Hillberry Heights","Douglas"
"Hillberry Lakes","Douglas"
"Hillberry Meadows","Douglas"
"Hillberry Road","Onchan"
"Hillberry View","Onchan"
"Hillcrest","Santon"
"Hillcrest Grove","Onchan"
"Hillcroft","Douglas"
"Hillcroft Green","Douglas"
"Hillcroft Rise","Douglas"
"Hills Meadow","Douglas"
"Hills Meadow Industrial Estate","Douglas"
"Hillside House","Ramsey"
"Hillside Terrace","Glen Maye"
"Hilltop Rise","Braddan"
"Hilltop Rise","Douglas"
"Hilltop View","Douglas"
"Hollin Bank","Braddan"
"Hollin Bank","Douglas"
"Hollin Lane","Cronkbourne Village"
"Hollin Lane","Douglas"
"Hollin Lane","Tromode"
"Hollin Lane","Tromode Woods"
"Holly Bank","Patrick"
"Holly Cottage","Lower Foxdale"
"Holly Grove","Ballasalla"
"Hollydene Avenue","Birch Hill Park"
"Hollydene Avenue","Onchan"
"Holmcrest","Lower Foxdale"
"Holmfield Villas","Ballasalla"
"Holmlea","Glen Maye"
"Homefield Cottage","Ballamodha"
"Homefield Park","Ballasalla"
"Homefield Road","Douglas"
"Homefield Villas","Ballasalla"
"Honeysuckle Cottage","Kirk Michael"
"Honeysuckle Lane","Douglas"
"Honna Hill","Bradda East"
"Honna Road","Ballafesson"
"Honna Road","Bradda East"
"Honna Road","Port Erin"
"Honna Road","Rushen"
"Hope Road","Patrick"
"Hope Street","Castletown"
"Hope Street","Douglas"
"Hope Street","Ramsey"
"Horseshoe Avenue","Douglas"
"Howe Road","Cregneash"
"Howe Road","Onchan"
"Howe Road","Port St Mary"
"Howe Road","Rushen"
"Howstrake Drive","Onchan"
"Hoyshoern","West Baldwin"
"Hughenden","Ramsey"
"Hughenden Terrace","Ramsey"
"Hutchinson Square","Douglas"
"Hutchinson Villas","Douglas"
"Imman Stronnag","Peel"
"Imperial Terrace","Onchan"
"Injebreck House","West Baldwin"
"Inner Circle","Douglas"
"Iron Mine","Maughold"
"Isle Of Alanis","Ramsey"
"Isle Of Man Business Park","Braddan"
"Isle Of Man Business Park","Douglas"
"Isle Of Man Freeport","Ballasalla"
"Ivy Cottages","Kewaigue"
"Ivydene  Avenue","Onchan"
"Ivydene Avenue","Onchan"
"Jacks Lane","Lewaigue"
"Jacks Lane","Maughold"
"James Place","Douglas"
"Janets Corner","Malew"
"Janets Corner Housing Estate","Castletown"
"John Street","Douglas"
"Johnny Watterson Court","Douglas"
"Johnny Watterson Lane","Douglas"
"Johnny Wattersons Lane","Douglas"
"Joseph Hall Avenue","Douglas"
"Julian Road","Douglas"
"Jurby","Jurby"
"Jurby East","Jurby"
"Jurby East Road","Andreas"
"Jurby East Road","Jurby"
"Jurby Industrial Estate","Jurby"
"Jurby Medical Centre","Jurby"
"Jurby Road","Andreas"
"Jurby Road","Jurby"
"Jurby Road","Lezayre"
"Jurby Road","Ramsey"
"Jurby Road","Ramsey Road"
"Jurby Road","Sandygate"
"Jurby Road","St Judes"
"Jurby Water Gardens","Jurby"
"Jurby West","Jurby"
"Jurby West Crossroads","Jurby"
"Kallow Point","Port St Mary"
"Kallow Point Road","Port St Mary"
"Keeil Pharick","Marown"
"Keeil Pharick Park","Glen Vine"
"Keeil Pharick Park","Marown"
"Keeill Pharick","Glen Vine"
"Keeill Pharick Park","Glen Vine"
"Keeill Pharick Park","Marown"
"Keilthustag","Andreas"
"Kella Back Road","Lezayre"
"Kella Close","Lezayre"
"Kella Close","Sulby"
"Kella Road","Sulby"
"Kelly Close","Ramsey"
"Kelly's Court","Douglas"
"Kelly's Court","Peel"
"Kelvin Road","Onchan"
"Kenaa Road","St Johns"
"Kennaa Road","German"
"Kennaa Road","St Johns"
"Kennaugh Close","Ballasalla"
"Kensington Avenue","Douglas"
"Kensington Lane","Douglas"
"Kensington Place","Onchan"
"Kensington Road","Douglas"
"Kentraugh","Port St Mary"
"Kentraugh Terrace","Foxdale"
"Kentraugh Terrace","Higher Foxdale"
"Keown's Lane","Peel"
"Keowns Lane","Peel"
"Kermode Close","Crosby"
"Kermode Close","Ramsey"
"Kermode Road","Crosby"
"Kerrocoar Close","Onchan"
"Kerrocoar Drive","Onchan"
"Kerrocruin","Kirk Michael"
"Kerromoar","Lezayre"
"Kerroo Coar","Peel"
"Kerroogarroo","Andreas"
"Kerroomooar Chapel","Sulby"
"Kerrowdhoo","Patrick"
"Kerrowgarrow","Andreas"
"Kerrowgarrow - Ballasteen","Andreas"
"Kerrowgarrow Farm","Greeba"
"Kerrowgarrow Lane","St Johns"
"Kerrowgarrow Road","Greeba"
"Kerrowkeil Road","Ballasalla"
"Kerrowkeil Road","Grenaby"
"Kerrowkeil Road","Malew"
"Kerrowkiel Road","Ballasalla"
"Kerrowmoar","Lezayre"
"Kerrowmoar","Sulby"
"Kerrowmoar Farm","Andreas"
"Kerruish's Curragh","Ballaugh"
"Kewaigue","Douglas"
"Kewaigue Cottages","Kewaigue"
"Keyll Lhiarjee","Laxey"
"Keyllagh","Ballaugh"
"Killane","Ballaugh"
"Killane","Jurby"
"Killane Road","Ballaugh"
"Killeaba Mount","Ramsey"
"Kind Edward Road","Onchan"
"King Edward Bay","Onchan"
"King Edward Bay Apartments","Onchan"
"King Edward Bay Road","Onchan"
"King Edward Close","Onchan"
"King Edward Park","Onchan"
"King Edward Road","Onchan"
"King George V Park","Douglas"
"King Orry Close","Glen Vine"
"King Orry Place","Glen Vine"
"King Orry Road","Glen Vine"
"King Orry Road","Marown"
"King William Road","Castletown"
"King William's College","Castletown"
"King Williams College","Castletown"
"King Williams Road","Castletown"
"King Williams Way","Castletown"
"Kings Court","Ramsey"
"Kings Reach","Ramsey"
"Kings Reach Village","Ramsey"
"Kingswood Grove","Douglas"
"Kiondroghad Road","Andreas"
"Kiondroughad","Michael"
"Kiondroughad","Orrisdale"
"Kiondroughad Road","Andreas"
"Kionlough","Bride"
"Kionlough Lane","Bride"
"Kionsleu","Foxdale"
"Kionslieau","Foxdale"
"Kionslieau Terrace","Foxdale"
"Kionslieu","Foxdale"
"Kionslieu Hill","Foxdale"
"Kionslieu Hill","Patrick"
"Kionslieu Terrace","Foxdale"
"Kionslieu Terrace","Higher Foxdale"
"Kionslieu Terrace","Patrick"
"Kirby Hill","Douglas"
"Kirkway","Onchan"
"Kissack Road","Castletown"
"Kissack Way","Ballasalla"
"Kissack's Lane","Crosby"
"Kissacks Lane","Marown"
"Kitterland Lane","Port Erin"
"Kneale Court","Ramsey"
"Knock Froy","Santon"
"Knock Froy Road","Santon"
"Knock Rushen","Castletown"
"Knock Rushen","Scarlett Road"
"Knock Rushen Estate","Castletown"
"Knockaloe Beg","Patrick"
"Knockaloe Beg Cottages","Patrick"
"Knockaloe Beg Lane","Patrick"
"Knocksharry","German"
"Knocksharry Cottages","Peel"
"Knocksharry Road","Peel"
"Laburnum Road","Douglas"
"Lace's Terrace","Maughold"
"Lag Birragh Drive","Onchan"
"Lake Lane","Peel"
"Lake Road","Douglas"
"Lake View Road","Douglas"
"Lakeside Gardens","Douglas"
"Lakeside Gardens","Onchan"
"Lakeside Road","Douglas"
"Lakeside Road","Governors Hill"
"Lakeside View","Douglas"
"Lambhill","Bride"
"Lancaster Road","Douglas"
"Land","Ballasalla"
"Land","Braddan"
"Land","Lonan"
"Land","Maughold"
"Land","St Johns"
"Land","Sulby"
"Langdale Close","Onchan"
"Langness","Malew"
"Langness Road","Derbyhaven"
"Lanjaghan Lane","Douglas"
"Lanjaghan Road","Onchan"
"Lansdowne Apartments","Douglas"
"Larch Hill","Douglas"
"Larch Hill","Tromode"
"Larch Hill Grove","Douglas"
"Larch Hill Grove","Onchan"
"Larch Hill Grove","Tromode"
"Larivane Close","Andreas"
"Larivane Meadows","Andreas"
"Larivane Meadows Estate","Andreas"
"Lark Hill","Abbeylands"
"Laurel  Avenue","Onchan"
"Laurel Avenue","Onchan"
"Laurel Bank","St Johns"
"Laurel Bank Cottages","St Johns"
"Laurel Cottages","Laxey"
"Laureston Close","Douglas"
"Laureston Grove","Douglas"
"Laureston Terrace","Douglas"
"Laureston View","Douglas"
"Laurys Avenue","Ramsey"
"Laxey","Lonan"
"Laxey Promenade","Laxey"
"Laxey Road","Baldrine"
"Laxey Road","Lonan"
"Lazy Hill","Douglas"
"Leigh Terrace","Douglas"
"Leodest","Andreas"
"Leodest Road","Andreas"
"Level Close","Rushen"
"Lewaigue","Maughold"
"Lewaigue Road","Maughold"
"Lewthwaites Way","Port St Mary"
"Lezayre Park","Ramsey"
"Lezayre Road","Glen Duff"
"Lezayre Road","Lezayre"
"Lezayre Road","Ramsey"
"Lezayre Road","Sulby"
"Lezayre Road Housing Estate","Ramsey"
"Lhag Beg","Port Erin"
"Lhag Mooar","Port Erin"
"Lhagg Road","Dalby"
"Lhagg Road","Patrick"
"Lhargan","Port St Mary"
"Lheakarrow Cottage","Andreas"
"Lheakerrow Cottage","Andreas"
"Lheaney Grove","Ramsey"
"Lheaney Road","Ramsey"
"Lheannag Park","Douglas"
"Lhen Brdge","Andreas"
"Lhen Bridge","Andreas"
"Lhen Road","Bride"
"Lherghydhoo","Peel"
"Lhergy Cripperty","Union Mills"
"Lhergy Dhoo","German"
"Lhergy Dhoo","Peel"
"Lhergy Dhoo Road","German"
"Lhergydhoo","German"
"Lhergydhoo","Knocksharry"
"Lhergydhoo","Peel"
"Lhergydhoo Estate","German"
"Lhergydhoo Farm","German"
"Lhoan Pibbin Vane","Peel"
"Lhon Dhoo Close","Onchan"
"Lhon Dhoon Close","Onchan"
"Lhon Vane Close","Onchan"
"Lhondhoo Close","Onchan"
"Lhonvane Close","Onchan"
"Lhoobs Road","Eairy"
"Lhoobs Road","East Foxdale"
"Lhoobs Road","Foxdale"
"Lhoobs Road","Patrick"
"Lilac Grove","Ballasalla"
"Lilac Grove","Malew"
"Lime Street","Port St Mary"
"Linden Avenue","Port St Mary"
"Linden Gardens","Douglas"
"Linden Grove","Douglas"
"Lingague","Colby"
"Lingague","Rushen"
"Links Close","Peel"
"Links Close","Port Erin"
"Links View","Onchan"
"Little Gretch Voar","Laxey"
"Little London","Kirk Michael"
"Little London","Michael"
"Little London Road","Cronk-Y-Voddy"
"Little Meadow","Andreas"
"Little Meddow","Andreas"
"Little Meddows","Andreas"
"Little Mill","Onchan"
"Little Mill Road","Onchan"
"Little Mount","Crosby"
"Little Switzerland","Douglas"
"Little Switzerland Road","Douglas"
"Loch Promenade","Douglas"
"Loch Road","Port St Mary"
"Loch Villas","Ramsey"
"Lonan Church Road","Laxey"
"Lonan Church Road","Lonan"
"Loop Road","Andreas"
"Loop Road","Lezayre"
"Loop Road","St Judes"
"Lord Street","Douglas"
"Lorne House","Castletown"
"Loughan-Y-Yeigh","Lezayre"
"Loughen-E-Yeigh","Lezayre"
"Loughen-E-Yeigh Estate","Lezayre"
"Low Brae","Maughold"
"Lower Ballachrink","Ballamodha"
"Lower Ballaclucas","Marown"
"Lower Ballacottier","Onchan"
"Lower Ballagrave","Marown"
"Lower Ballagrave","West Baldwin"
"Lower Ballahig","St Johns"
"Lower Ballakaighin","Peel"
"Lower Bishops Court Ballaugh Farm","Ballaugh"
"Lower Bishops Court Farm","Ballaugh"
"Lower Cronk Orry","Laxey"
"Lower Cronk Orry, Minorca Hill","Laxey"
"Lower Dukes Road","Douglas"
"Lower Foxdale","Patrick"
"Lower Gleneedle","Patrick"
"Lower Level","Douglas"
"Lower Packhorse Lane","Baldrine"
"Lower Rencel Hill","Laxey"
"Lower Rencell Hill","Laxey"
"Lower Rhenass","German"
"Lower Road","Maughold"
"Lower Skerrisdale","Kirk Michael"
"Lower Skerrisdale Farm","Kirk Michael"
"Lower Sulby Farm","Onchan"
"Lower Tosaby","Malew"
"Lucerne Court","Douglas"
"Lumby Terrace","Ramsey"
"Lying South Of Colby Station","Arbory"
"Lyndale Avenue","Peel"
"Macree Road","Malew"
"Maddrell Drive","Peel"
"Mafeking Terrace","Ramsey"
"Magher Breek","Peel"
"Magher Breekyn","Port Erin"
"Magher Chirrym","Port Erin"
"Magher Donnag","Port Erin"
"Magher Drine","German"
"Magher Drine","Peel"
"Magher Garran","Port Erin"
"Magherbreekyn","Port Erin"
"Magherchirrym","Port Erin"
"Magherdonnag","Port Erin"
"Magherdonnagh","Port Erin"
"Maghergarran","Port Erin"
"Magnus Court","Douglas"
"Magnus Court","Ramsey"
"Main  Road","Crosby"
"Main High Road","St Marks"
"Main Road","Andreas"
"Main Road","Arbory"
"Main Road","Baldrine"
"Main Road","Ballabeg"
"Main Road","Ballasalla"
"Main Road","Ballaugh"
"Main Road","Braddan"
"Main Road","Bride"
"Main Road","Colby"
"Main Road","Crosby"
"Main Road","Dalby"
"Main Road","Foxdale"
"Main Road","German"
"Main Road","Glen Maye"
"Main Road","Glen Vine"
"Main Road","Gordon"
"Main Road","Greeba"
"Main Road","Higher Foxdale"
"Main Road","Kirk Michael"
"Main Road","Laxey"
"Main Road","Lezayre"
"Main Road","Lonan"
"Main Road","Lower Foxdale"
"Main Road","Marown"
"Main Road","Maughold"
"Main Road","Michael"
"Main Road","Onchan"
"Main Road","Patrick"
"Main Road","Ramsey"
"Main Road","Santon"
"Main Road","St Johns"
"Main Road","Sulby"
"Main Road","Union Mills"
"Main Road Peel To Kirk Michael","German"
"Maine Avenue","Port Erin"
"Maine Court","Port Erin"
"Maine Road","Port Erin"
"Maitland Terrace","Braddan"
"Maitland Terrace","Union Mills"
"Majestic Apartments","Onchan"
"Majestic Close","Onchan"
"Majestic Dive","Onchan"
"Majestic Drive","Onchan"
"Majestic View","Onchan"
"Malew Road","Ballasalla"
"Malew Road","Castletown"
"Malew Road","Malew"
"Malew Street","Castletown"
"Malvern  Road","Douglas"
"Malvern Road","Douglas"
"Malvern Street","Douglas"
"Manor Drive","Douglas"
"Manor Hill","Douglas"
"Manor Lane","Braddan"
"Manor Lane","Douglas"
"Manor Park","Onchan"
"Manor Road","Braddan"
"Manor Road","Douglas"
"Manor View","Douglas"
"Manor Woods","Douglas"
"Manx Electric Railway Depot","Laxey"
"Maple Avenue","Onchan"
"Maple Avenue","Peel"
"Maple Close","Onchan"
"Marathon Avenue","Douglas"
"Marathon Avenue And Marathon Drive","Douglas"
"Marathon Drive","Douglas"
"Marathon Road","Douglas"
"Marathon Terrace","Douglas"
"Marguerite Place","Foxdale"
"Marina Close","Onchan"
"Marina House","Peel"
"Marina Lane","Port Erin"
"Marina Road","Douglas"
"Marine Court Apartments","Derbyhaven"
"Marine Drive","Port Soderick"
"Marine Gardens","Ramsey"
"Marine Parade","Peel"
"Marine Terrace","Port St Mary"
"Marine View Close","Onchan"
"Mariner's Wharf","Peel"
"Mariners Wharf","Peel"
"Marion Road","Onchan"
"Market Hill","Douglas"
"Market Hill","Ramsey"
"Market Lane","Ramsey"
"Market Place","Peel"
"Market Place","Ramsey"
"Market Place West","Ramsey"
"Market Square","Ramsey"
"Market Street","Douglas"
"Market Street","Peel"
"Market Street","Ramsey"
"Marlborough Court Apartments","Douglas"
"Marlborough Crescent","Ramsey"
"Marlborough Terrace","Douglas"
"Marlborough Way","Ramsey"
"Marsden Terace","Ramsey"
"Marsden Terrace","Ramsey"
"Mateland Drive","Laxey"
"Maughold","Maughold"
"Maughold Church To Ballajora","Maughold"
"Maughold Head","Maughold"
"Maughold Village","Maughold"
"May Hill","Ramsey"
"May Hill / Glen Elfin Road","Ramsey"
"Maycroft","Ramsey"
"Mcfarlan Close","Ballasalla"
"Mcleods Field","Peel"
"Mcleods Field","Ramsey"
"Meadow Court","Ballasalla"
"Meadow Crescent","Braddan"
"Meadow Crescent","Douglas"
"Meadow Crescent","Saddlestone"
"Meadow Lane","Peel"
"Meadow View","Andreas"
"Meadow View","Bride"
"Meadowbrook Gardens","Douglas"
"Meadowfield","Port Erin"
"Meadowfield Road","Port Erin"
"Meainyn Close","Foxdale"
"Meary Voar","Santon"
"Meayll Drive","Ballakilley"
"Meayll Drive","Port St Mary"
"Melbourne Street","Douglas"
"Merlins Court","Ramsey"
"Merton Bank","Douglas"
"Merton Villa","Kirk Michael"
"Mews Cottages","Peel"
"Michael Street","Peel"
"Middle Farm","Braddan"
"Middle Farm Industrial Estate","Braddan"
"Middle Park Industrial Estate","Braddan"
"Middle Park Industrial Units","Braddan"
"Middle River","Douglas"
"Middle River Industrial Estate","Braddan"
"Middle River Industrial Estate","Douglas"
"Mill Cottages","Ballasalla"
"Mill Court Yard","Castletown"
"Mill House","St Johns"
"Mill Road","Ballasalla"
"Mill Road","German"
"Mill Road","Greeba"
"Mill Road","Laxey"
"Mill Road","Malew"
"Mill Road","Peel"
"Mill Road","Port Erin"
"Mill Road","Rushen"
"Mill Road","Surby"
"Mill Street","Castletown"
"Mill View Cottages","Crosby"
"Millmount","Douglas"
"Millmount Court","Douglas"
"Millmount Lane","Douglas"
"Milner Close","Port Erin"
"Milner Park","Port Erin"
"Milner Terrace","Castletown"
"Milner Towers","Port Erin"
"Milntown","Lezayre"
"Milntown","Ramsey"
"Milton Terrace","Douglas"
"Mineral Terrace","Foxdale"
"Mines Road","Foxdale"
"Mines Road","Laxey"
"Mines Road","Patrick"
"Mines Road Lane","Patrick"
"Minorca Cottages","Laxey"
"Minorca Hill","Laxey"
"Minorca Vale","Laxey"
"Moaney Quill","Lonan"
"Moaney Quill Close","Laxey"
"Moaney Quill Close","Lonan"
"Moaney Road","Santon"
"Mona Drive","Douglas"
"Mona Street","Douglas"
"Mona Street","Peel"
"Mona Street","Ramsey"
"Mona Terrace","Castletown"
"Mona Terrace","Douglas"
"Montreux Court","Douglas"
"Moooragh Promenade","Ramsey"
"Mooragh House","Ramsey"
"Mooragh Park Pumping Station","Ramsey"
"Mooragh Promenade","Ramsey"
"Mooragh Promenade/North Shore Road","Ramsey"
"Mount Auldyn","Ramsey"
"Mount Bradda","Douglas"
"Mount Gawne Road","Colby"
"Mount Gawne Road","Port St Mary"
"Mount Gawne Road","Rushen"
"Mount Havelock","Douglas"
"Mount Morrison","Peel"
"Mount Murray","Braddan"
"Mount Murray","Douglas"
"Mount Murray","Santon"
"Mount Murray Back Road","Mount Murray"
"Mount Murray Estate","Santon"
"Mount Pleasant","Douglas"
"Mount Rule","Braddan"
"Mount Rule","Douglas"
"Mount Rule Cottages","Mount Rule"
"Mount Rule Road","Braddan"
"Mount Rule Road","Douglas"
"Mount Rule Road","Marown"
"Mount Rule Road","Strang"
"Mount View","Andreas"
"Mount View Close","Onchan"
"Mount View Road","Onchan"
"Mount View Terrace","Onchan"
"Mount William","Douglas"
"Mountain Road","Douglas"
"Mountain Road","Lezayre"
"Mountain Road","Onchan"
"Mountain Road","Ramsey"
"Mountain View","Andreas"
"Mountain View","Andreas Village"
"Mountain View","Ballaugh"
"Mountain View","Douglas"
"Mountain View","Peel"
"Mountfield Road","Onchan"
"Mourne View","Peel"
"Mourne View Road","Peel"
"Muir Terrace","Laxey"
"Mull View","Kirk Michael"
"Mullin-E-Cloie","St Johns"
"Mullinaragher Road","Santon"
"Mullinaragher Road","St Marks"
"Murray Lakes Drive","Santon"
"Murray Lakes Estate","Braddan"
"Murray's Lake Drive","Santon"
"Murray's Road","Douglas"
"Murrays Lake Drive","Mount Murray"
"Murrays Lake Drive","Santon"
"Murrays Lake Grove","Santon"
"Murrays Road","Douglas"
"Mylchreest Drive","Ballasalla"
"Myrtle Street","Douglas"
"Mysore Close","Ramsey"
"Mysore Cottages","Ramsey"
"Nab Farm","Marown"
"Nappin Cottage","Jurby"
"Narradale","Lezayre"
"Narradale","Sulby"
"Narradale Road","Lezayre"
"Narrowdale","Lezayre"
"Nassau Road","Bride"
"Nassau Road","Regaby"
"Near Archallagan","Foxdale"
"Near Ballagawne Road","Colby"
"Near Ballajora","Maughold"
"Near Ballalonna","Kirk Michael"
"Near Ballamodha","Malew"
"Near Ellan Rhenny","Ballaugh Curraghs"
"Near Kelly Close","Ramsey"
"Near Knockaloe","Patrick"
"Near Laurel Bank","German"
"Near Meary Voar","Santon"
"Near Mill Road","Peel"
"Near Niarbyl","Patrick"
"Near Staarvey Farm","German"
"Near Starkey Close","Ramsey"
"Near To West Kella Road","Sulby"
"Neighbouring Lhergydhoo","German"
"Nelson Street","Douglas"
"Neptune Street","Ramsey"
"New Castletiown Road","Douglas"
"New Castletown Road","Douglas"
"New Castletown Road","Santon"
"New Pulrose Development","Pulrose"
"New Road","Arbory"
"New Road","Laxey"
"Newtown","Santon"
"Niarbyl","Patrick"
"Niarbyl Road","Dalby"
"North East Side Of Ballure Road","Maughold"
"North Of Douglas To Peel Road","German"
"North Quay","Douglas"
"North Quay, Bank Hill And Lord Street","Douglas"
"North Shore Road","Ramsey"
"North Side Of Arbory Road","Castletown"
"North Side Of Highroad Leading From","Jurby"
"North Side Of Rowan Road","Maughold"
"North View","Peel"
"North West Of Cooil Avenue","Kirk Michael"
"Northcroft","Castletown"
"Northcroft Close","Castletown"
"Norwood Drive","Douglas"
"Nr Ballakneen Chapel","Andreas"
"Nr Ballaugh Curraghs","Ballaugh"
"Nunnery Estate","Braddan"
"Nunnery Estate","Douglas"
"Nursery Avenue","Onchan"
"Oak Close","Onchan"
"Oak Hill","Port Soderick"
"Oak Park","Peel"
"Oak Road","German"
"Oak Road","Peel"
"Oakdale","Douglas"
"Oakhill","Port Soderick"
"Oakhill Close","Douglas"
"Oakhill Cottages","Port Soderick"
"Oakhill Court","Douglas"
"Oatfield Rise","Ballasalla"
"Oatlands","Andreas"
"Oatlands Road","Andreas"
"Oatlands Road","Santon"
"Ocean Castle Drive","Port Erin"
"Ocean Castle Road","Port Erin"
"Odin's Way","Rushen"
"Odins Way","Colby"
"Of Ballacain And Ballacooil","Patrick"
"Olafs Close","Douglas"
"Old Bakery Mews","Onchan"
"Old Castletown House","Santon"
"Old Castletown Road","Braddan"
"Old Castletown Road","Douglas"
"Old Castletown Road","Port Soderick"
"Old Castletown Road","Santon"
"Old Church Road","Crosby"
"Old Church Road","Lonan"
"Old Crescent House","Douglas"
"Old Groudle Road","Baldrine"
"Old Laxey Hill","Laxey"
"Old Market House","Peel"
"Old School Hill","Laxey"
"Old School Road","Port St Mary"
"Old School Road","Rushen"
"Old School View","Crosby"
"Old Sulby","Lezayre"
"Old Sulby Road","Sulby"
"Old Windmill Road","Ballaugh"
"On Ballaquane Farm","Dalby"
"Orchard Close","Andreas"
"Orchard Road","Port Erin"
"Orchard View","Braddan"
"Orchard View","Douglas"
"Orchid Close","Douglas"
"Ormly Avenue","Ramsey"
"Ormly Grove","Ramsey"
"Ormly Road","Ramsey"
"Orrisdale","Kirk Michael"
"Orrisdale","Michael"
"Orrisdale Loop Road","Kirk Michael"
"Orrisdale Road","Ballasalla"
"Orrisdale Road","Kirk Michael"
"Orrisdale Road","Malew"
"Orrisdale Road","Michael"
"Orry Lane","Peel"
"Orry Place","Douglas"
"Orry Street","Douglas"
"Orry's Mount Lodge","Bride"
"Orrys Close","Douglas"
"Osborne Cottages","Laxey"
"Osborne Grove","Douglas"
"Osborne Terrace","Douglas"
"Osbourne Grove","Douglas"
"Oxford Street","Douglas"
"Paark Yn Struan Reagh","Sulby Glen"
"Pack Horse Lane","Baldrine"
"Packhorse Lane","Baldrine"
"Paddocks Lane","Port St Mary"
"Pairk Beg","Port Erin"
"Palace Road","Douglas"
"Palace Terrace","Douglas"
"Palace View Terrace","Douglas"
"Palace View Terrace","Queens Promenade"
"Palatine Road","Douglas"
"Palm Winds","Ramsey"
"Papermill Bridge","Braddan"
"Paradise Court","Castletown"
"Pardess","Colby"
"Park Avenue","Douglas"
"Park Close","Glen Vine"
"Park Close","Marown"
"Park Road","Douglas"
"Park Road","Port St Mary"
"Park Road","Ramsey"
"Park View","Agneash"
"Park View","Douglas"
"Parking Spaces","Peel"
"Parkway","Ballasalla"
"Parliament Lane","Castletown"
"Parliament Square","Castletown"
"Parliament Square","Ramsey"
"Parliament Street","Ramsey"
"Parr Street","Douglas"
"Parr Street Lane","Douglas"
"Parsonage Glebe","St Johns"
"Parsonage Road","Ramsey"
"Patrick Corner","Patrick"
"Patrick Corner","Patrick Village"
"Patrick Corner","St Johns"
"Patrick Road","Patrick"
"Patrick Road","Peel"
"Patrick Road","St Johns"
"Patrick Street","Peel"
"Patrick Village","Patrick"
"Peel","Poortown"
"Peel Football Club Grounds","Peel"
"Peel Road","Braddan"
"Peel Road","Douglas"
"Peel Road","German"
"Peel Road","Greeba"
"Peel Road","Kirk Michael"
"Peel Road","Marown"
"Peel Road","St Johns"
"Peel Road","St. John's"
"Peel Sewage Pumping Station","Peel"
"Peel Street","Ramsey"
